gem_mine_id,msha_id,country_area,mine_name,mine_name_akas,mine_name_non_eng,complex_name,gem_wiki_page_eng,gem_wiki_page_non_eng,status,status_detail,project_type,project_phase,owners,owners_gem_entity_id,owners_non_eng,parent_company,company_hqs,capacity_mtpa,production_mtpa,year_of_production,coal_output_annual_mst,mine_type,mining_method,mine_size_km2,mine_depth_m,depth_accuracy,workforce_size,workforce_accuracy,coal_type,coal_grade,percentage_of_met_coal,percentage_of_thermal_coal,accuracy_rating,reported_year_of_percentage_split,total_reserves_proven_and_probable_mt,year_of_total_reserves_recorded,total_resource_inferred_indicated_measured,reserve_to_production_ratio_r_p,opening_year,closing_year,reported_life_of_mine,reported_year_of_mine_life,coalfield,latitude,longitude,location_accuracy,primary_consumer_destination,primary_consumer_destination_name,primary_consumer_destination_gem_wiki,gas-level_rating,gas-level_rating_appraisal_year,reported_coal_mine_methane_emissions_thousand_tonnes_ch4,reported_coal_mine_methane_emissions_thousand_tonnes_co2_equivalent,year_of_reported_coal_mine_methane_emissions,source_id,has_associated_plume_data,has_associated_cmm_mitigation_data,gem_coal_mine_methane_emissions_estimate_mcm_yr,gem_coal_mine_methane_emissions_estimate_m_tonnes_yr,cmm_emissions_co2e_20_years,cmm_emissions_co2e_100_years,parent_gem_entity_id,location_non_eng,reference_type,methane_emissions_factor,methane_gas_content_m_3_tonne,mine_boundary_and_methane_emissions_sources_data_available_,has_mine_boundary_and_methane_emissions_sources_data_
M5131,,China,Yunnan Guanyinshan Coal Mine No.2 Shaft,,云南能投威信煤炭有限公司观音山煤矿二井,,,https://www.gem.wiki/云南能投威信煤炭有限公司观音山煤矿二井,Operating,,,,Yunnan Nengtou Weixin Coal Co Ltd,E100002009249,云南能投威信煤炭有限公司,Yunnan Nengtou Weixin Coal Co Ltd [100.0%],China,0.6,,2025.0,,Underground,Longwall,,,Exact,478.0,Exact,Bituminous,Thermal,,,,,44.0,2023.0,59.0,73.0,2017.0,,53.0,2023.0,,27.872367,104.876341,Exact,Coal Plant,Weixin power station,https://www.gem.wiki/Weixin_power_station,突出矿井,2024.0,,,,,N,N,12.66,0.0085,0.7,0.25,E100002009249 [100.0%],云南省昭通市威信县麟凤镇麟凤村,,1.6,18.9,Y,
M5400,,China,Yunnan Jincheng Coal Mine,,云南东源罗平东城煤矿有限公司罗平县阿岗镇金城煤矿,,,https://www.gem.wiki/云南东源罗平东城煤矿有限公司罗平县阿岗镇金城煤矿,Operating,,New,,Yunnan Dongyuan Luoping Dongcheng Coal Mine Co Ltd,E100002009255,云南东源罗平东城煤矿有限公司,Yunnan Dongyuan Luoping Dongcheng Coal Mine Co Ltd [100.0%],China,0.6,,2025.0,,Underground,Longwall,,,Exact,1307.0,Estimate,Bituminous,Met,,,,,42.35,2020.0,65.0,71.0,2024.0,,50.0,2020.0,Guishan Coalfield,25.015541,104.110389,Exact,,,,高瓦斯,2022.0,,,,,N,N,10.45,0.007,0.58,0.21,E100002009255 [100.0%],云南省曲靖市罗平县阿岗镇,,1.6,15.6,N,
M5401,,China,Yunnan Longtantian Coal Mine,,曲靖市麒麟区龙源达有限公司龙潭田煤矿,,,https://www.gem.wiki/曲靖市麒麟区龙源达有限公司龙潭田煤矿,Operating,,,,Qujing City Qilin District Longyuanda Co Ltd,E100002010422,曲靖市麒麟区龙源达有限公司,Qujing City Qilin District Longyuanda Co Ltd [100.0%],China,0.3,,2025.0,,Surface,Open Pit,,,Exact,146.0,Exact,Bituminous,Thermal,,,,,0.9,2023.0,,3.0,2025.0,,1.0,2023.0,Diandong Coalfield,25.264085,104.096796,Exact,,,,,,,,,,N,N,3.36,0.0023,0.19,0.07,E100002010422 [100.0%],云南省曲靖市麒麟区东山镇卑舍村,,1.5,10.7,N,
M5132,,China,Yunnan Ludong Coal Mine,,云南陆东煤矿有限公司,,,https://www.gem.wiki/云南陆东煤矿有限公司,Operating,,,,Yunnan Ludong Coal Mine Co Ltd,E100002009250,云南陆东煤矿有限公司,Yunnan Ludong Coal Mine Co Ltd [100.0%],China,0.39,,2025.0,,Underground,Longwall,,,Estimate,382.0,Exact,Bituminous,Met,,,,,49.27,2023.0,,126.0,2014.0,,,,Diandong Coalfield,25.258425,104.065037,Exact,,,,低瓦斯,2025.0,,,,,N,N,5.79,0.0039,0.32,0.12,E100002009250 [100.0%],云南省曲靖市麒麟区东山镇高家村,,1.6,13.3,N,
M5464,,China,Yunnan Shicaohe Coal Mine,,陆良县源丰矿业开发有限公司石槽河露天煤矿,,,https://www.gem.wiki/陆良县源丰矿业开发有限公司石槽河露天煤矿,Operating,,Expansion,,Luliang County Yuanfeng Mining Development Co Ltd,E100002010575,陆良县源丰矿业开发有限公司,Luliang County Yuanfeng Mining Development Co Ltd [100.0%],China,0.3,,2025.0,,Surface,Open Pit,,,Exact,210.0,Exact,Lignite,Thermal,,,,,16.7,2022.0,19.0,17.0,2018.0,,15.0,2022.0,Zhaotong-Xuanwei Coal Field,25.115189,103.897161,Exact,,,,,,,,,,N,N,1.01,7.0E-4,0.06,0.02,E100002010575 [100.0%],云南省曲靖市陆良县活水乡石槽河村,,1.5,3.2,N,
M5133,,China,Yunnan Shizong Chaoyang Coal Mine No.1 Shaft,,师宗县朝阳煤矿有限责任公司朝阳煤矿一号井,,,https://www.gem.wiki/师宗县朝阳煤矿有限责任公司朝阳煤矿一号井,Proposed,Pre-Permit,New,,Shizong County Chaoyang Coal Mine Co Ltd,E100002009693,师宗县朝阳煤矿有限责任公司,Shizong County Chaoyang Coal Mine Co Ltd [100.0%],,0.6,,,,Surface,Open Pit,,,Exact,231.0,Exact,Bituminous,Thermal & Met,,,,,23.81,2021.0,31.0,40.0,,,29.0,2023.0,Guishan Coalfield,24.887285,103.881577,Approximate,,,,,,,,,,N,N,7.37,0.0049,0.41,0.15,E100002009693 [100.0%],云南省曲靖市师宗县雄壁镇小哨村委会鱼膜龙村,,1.5,11.7,N,
M4738,,China,Yunnan Xianfeng Surface Coal Mine,,云南先锋煤业开发有限公司先锋露天煤矿,,,https://www.gem.wiki/云南先锋煤业开发有限公司先锋露天煤矿,Operating,,Expansion,,Yunnan Xianfeng Coal Industry Development Co Ltd,E100002009244,云南先锋煤业开发有限公司,Yunnan Xianfeng Coal Industry Development Co Ltd [100.0%],China,3.0,,2025.0,,Surface,Open Pit,,,Exact,573.0,Exact,Lignite,Thermal & Chemical,,,,,192.0,2021.0,,64.0,2024.0,,,,,25.513011,103.055789,Exact,Coal Plant,阳宗海电厂、昆明电厂、曲靖电厂、宣威电厂等滇中及滇东北主力电厂,https://www.gem.wiki/Kunming_power_station;  https://www.gem.wiki/Yunnan_Qujing_power_station; https://www.gem.wiki/Xuanwei_power_station,,,,,,,N,N,15.71,0.0105,0.87,0.31,E100002009244 [100.0%],云南省昆明市寻甸县先锋镇,,1.5,5.0,N,
M1248,,China,Yushujing Coal Mine,,内蒙古上海庙矿业有限责任公司榆树井煤矿,,,https://www.gem.wiki/内蒙古上海庙矿业有限责任公司榆树井煤矿,Operating,,,,Inner Mongolia Shanghai Temple Mining Company,,,,China,3.8,,2024.0,,Underground,Longwall,,,Estimate,1093.0,Estimate,Bituminous,Thermal,,,,,204.0,2024.0,367.0,54.0,2010.0,,38.0,2024.0,,38.258025,106.673372,Exact,Coal Plant,Huaneng Wulashan power station,https://www.gem.wiki/Huaneng_Wulashan_power_station,低瓦斯,2024.0,,,,,N,N,56.38,0.0378,3.12,1.13,,内蒙古自治区鄂尔多斯市鄂托克前旗上海庙工业园区,,1.6,13.3,N,
M1330,,China,Yushupo Coal Mine,,山西宁武榆树坡煤业有限公司,,,https://www.gem.wiki/山西宁武榆树坡煤业有限公司榆树坡煤矿,Operating,,,,Shanxi Ningwu Yushupo Coal Industry Company,,,,China,5.0,,2024.0,,Underground,Longwall,,,Exact,823.0,Estimate,Bituminous,Met,,,,,94.0,2025.0,376.0,19.0,2024.0,,13.0,2025.0,,39.03545,112.315703,Exact,,,,低瓦斯,2025.0,,,,,N,N,93.25,0.0625,5.15,1.86,,山西省忻州市宁武县阳方口镇榆树坡村,,1.6,16.7,N,
M2953,,China,Yushutian Coal Mine,,新疆库车县夏阔坦矿业开发有限责任公司榆树田煤矿,,,https://www.gem.wiki/新疆库车县夏阔坦矿业开发有限责任公司榆树田煤矿,Operating,,,,Xinjiang Kuche County Xia Kuotan Mining Development Company,,,,China,0.9,,2022.0,,Underground,,,,Estimate,530.0,Exact,Bituminous,Met,,,,,63.0,2018.0,99.0,70.0,2017.0,,,,,42.187904,83.155704,Exact,,,,突出矿井,2025.0,,,,,N,N,13.35,0.0089,0.74,0.27,,新疆阿克苏库车县阿艾乡北山矿区阿格乡夏阔坦村,,1.6,13.3,N,
