gem_mine_id,msha_id,country_area,mine_name,mine_name_akas,mine_name_non_eng,complex_name,gem_wiki_page_eng,gem_wiki_page_non_eng,status,status_detail,project_type,project_phase,owners,owners_gem_entity_id,owners_non_eng,parent_company,company_hqs,capacity_mtpa,production_mtpa,year_of_production,coal_output_annual_mst,mine_type,mining_method,mine_size_km2,mine_depth_m,depth_accuracy,workforce_size,workforce_accuracy,coal_type,coal_grade,percentage_of_met_coal,percentage_of_thermal_coal,accuracy_rating,reported_year_of_percentage_split,total_reserves_proven_and_probable_mt,year_of_total_reserves_recorded,total_resource_inferred_indicated_measured,reserve_to_production_ratio_r_p,opening_year,closing_year,reported_life_of_mine,reported_year_of_mine_life,coalfield,latitude,longitude,location_accuracy,primary_consumer_destination,primary_consumer_destination_name,primary_consumer_destination_gem_wiki,gas-level_rating,gas-level_rating_appraisal_year,reported_coal_mine_methane_emissions_thousand_tonnes_ch4,reported_coal_mine_methane_emissions_thousand_tonnes_co2_equivalent,year_of_reported_coal_mine_methane_emissions,source_id,has_associated_plume_data,has_associated_cmm_mitigation_data,gem_coal_mine_methane_emissions_estimate_mcm_yr,gem_coal_mine_methane_emissions_estimate_m_tonnes_yr,cmm_emissions_co2e_20_years,cmm_emissions_co2e_100_years,parent_gem_entity_id,location_non_eng,reference_type,methane_emissions_factor,methane_gas_content_m_3_tonne,mine_boundary_and_methane_emissions_sources_data_available_,has_mine_boundary_and_methane_emissions_sources_data_
M5013,,China,Shaanxi Shenmu Kunyuan Coal Mine,,神木市锟源矿业有限公司,,,https://www.gem.wiki/神木市锟源矿业有限公司,Operating,,Expansion,,Shenmu City Kunyuan Mining Co Ltd,E100002009751,神木市锟源矿业有限公司,Shenmu City Kunyuan Mining Co Ltd [100.0%],China,3.0,,2025.0,,Underground,Longwall,,,Exact,567.0,Exact,Bituminous,Thermal,,,,,66.41,2018.0,106.0,22.0,2022.0,,41.0,2018.0,Northern Shaanxi Jurassic,39.202974,110.265692,Exact,,,,低瓦斯,2018.0,,,,,N,N,33.84,0.0227,1.87,0.68,E100002009751 [100.0%],陕西省榆林市神木市大柳塔镇束鸡河村,,1.6,10.1,N,
M1807,,China,1890 Coal Mine,,新疆焦煤（集团）有限责任公司一八九〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司一八九〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,新疆焦煤（集团）有限责任公司,,China,1.2,,2022.0,,Underground,Longwall,,,Exact,481.0,Exact,Bituminous,Met,,,,,79.0,2019.0,124.0,66.0,2007.0,,47.0,2019.0,Aiweiergou,42.99407,87.550653,Exact,Steel Plant,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_&_Steel_Co_Ltd,突出矿井,2025.0,,,,,N,N,14.61,0.0098,0.81,0.29,,新疆乌鲁木齐市达坂城区艾维尔沟,,1.6,10.9,N,
M2428,,China,1930 Coal Mine,,新疆焦煤（集团）有限责任公司一九三〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司一九三〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,,,China,1.5,,2022.0,,Underground,,,,Estimate,507.0,Exact,Bituminous,Met,,,,,86.0,2021.0,151.0,58.0,2008.0,,,,Zhunnan,43.021644,87.45454,Exact,Steel Plant,宝钢集团新疆八一钢铁有限公司,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_and_Steel_Co_Ltd,突出矿井,2025.0,,,,,N,N,22.26,0.0149,1.23,0.44,,新疆乌鲁木齐市达坂城区艾维尔沟	,,1.6,13.3,N,
M1809,,China,2130 Coal Mine,,新疆焦煤（集团）有限责任公司二一三〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司二一三〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,,,China,0.7,,2022.0,,Underground,,,,Exact,466.0,Exact,Bituminous,Met,,,,,89.0,2020.0,,127.0,1986.0,,54.0,2020.0,Aiweiergou,43.026389,87.392778,Approximate,Steel Plant,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_&_Steel_Co_Ltd,突出矿井,2024.0,,,,,N,N,12.74,0.0085,0.7,0.25,,新疆乌鲁木齐市达坂城区艾维尔沟,,1.6,16.3,Y,
M2399,,China,A'erbasi No. 2 Well Coal Mine,,内蒙古鄂尔多斯煤炭有限责任公司阿尔巴斯煤矿（二井）,,,https://www.gem.wiki/内蒙古鄂尔多斯煤炭有限责任公司阿尔巴斯煤矿（二井）,Operating,,,,Inner Mongolia Ordos Coal Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,444.0,Estimate,Bituminous,Met,,,,,29.0,2018.0,,24.0,2006.0,,14.0,,Zhuozishan,39.392767,107.064987,Exact,,,,低瓦斯,2011.0,,,,,N,N,23.18,0.0155,1.28,0.46,,内蒙古自治区鄂托克旗棋盘井镇工业园区,,1.6,17.3,N,
M2575,,China,Agentala Mine of Shaogen Coal Mine,,内蒙古阿鲁科尔沁旗绍根煤田阿根塔拉矿井,,,https://www.gem.wiki/内蒙古阿鲁科尔沁旗绍根煤田阿根塔拉矿井,Shelved,Construction,New,,Inner Mongolia Zhongying Tianshan Energy Development Company(内蒙古中瀛天山能源开发有限公司),,,,China,1.8,,2022.0,,Underground,,,,Estimate,,,Lignite,Thermal,,,,,,,,,,,,,,43.648574,120.805416,Approximate,,,,,,,,,,N,N,8.64,0.0058,0.48,0.17,,内蒙古自治区阿鲁科尔沁旗绍根镇,,1.6,4.3,N,
M0163,,China,Aimin Wendu Coal Mine,,内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,,,https://www.gem.wiki/内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,Mothballed,,New,,Inner Mongolia Pingmei Ar Khorchin Banner Coal Mine Company,,,,China,1.2,,,,Underground,,,,Exact,764.0,Estimate,Lignite,Thermal,,,,,91.0,,186.0,76.0,,,50.0,,Shaogen,43.7025,120.771111,Exact,,,,低瓦斯,,,,,,N,N,4.96,0.0033,0.27,0.1,,内蒙古自治区赤峰市阿鲁科尔沁旗天山镇,,1.6,3.7,N,
M1338,,China,Algmin Coal Mine,,新疆凯领投资有限公司阿尔格敏露天煤矿,,,https://www.gem.wiki/新疆凯领投资有限公司阿尔格敏露天煤矿,Operating,,New,,Xinjiang Kailing Investment Company,,,,China,1.2,,2022.0,,Surface,Open Pit,,,Estimate,125.0,Exact,Bituminous,Met,,,,,48.0,2014.0,132.0,40.0,2018.0,,33.0,2014.0,,42.247604,82.495625,Exact,,,,,,,,,,N,N,13.19,0.0088,0.73,0.26,,新疆维吾尔自治区阿克苏地区拜城县黑英山乡,,1.5,10.5,N,
M2920,,China,Alxa Left Banner Xinjing Coal Mine,,内蒙古新井煤业有限公司煤矿,,,https://www.gem.wiki/内蒙古新井煤业有限公司煤矿,Mothballed,,Expansion,,Inner Mongolia Xinjing Coal Industry Company,,,,China,0.9,,,,Surface,Open Pit,,,Estimate,,,Bituminous,Thermal,,,,,,,,,2021.0,,,,Helan Mountain Southern,37.965931,105.662655,Exact,,,,,,,,,,N,N,9.89,0.0066,0.55,0.2,,内蒙古自治区阿拉善盟阿左旗嘉尔嘎勒赛汉镇巴兴图嘎查,,1.5,10.5,N,
M1811,,China,Anda Coal Mine,,山西通洲集团安达煤业有限公司,,,https://www.gem.wiki/山西通洲集团安达煤业有限公司,Operating,,,,Shanxi Tongzhou Group Anda Coal Industry Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,870.0,Exact,Bituminous,Met,,,,,47.0,2014.0,,39.0,2011.0,,29.0,2011.0,Qinshui,36.745014,112.233794,Exact,,,,高瓦斯,2024.0,,,,,N,N,18.27,0.0122,1.01,0.36,,山西省长治市沁源县郭道镇棉上村,,1.6,13.6,N,
M0164,,China,Anhui Banji Coal Mine,,中煤新集能源股份有限公司板集煤矿,,,https://www.gem.wiki/中煤新集能源股份有限公司板集煤矿,Operating,,,,China Coal Xinji Energy,,,,China,3.0,,2023.0,,Underground,,,,Estimate,3883.0,Estimate,Bituminous,Thermal,,,,,192.0,2025.0,518.0,64.0,2022.0,,51.0,,,32.899945,116.228774,Exact,Coal Plant,Lixin Banji power station,https://www.gem.wiki/Lixin_Banji_power_station,低瓦斯,,,,,,N,N,44.51,0.0298,2.46,0.89,,安徽省亳州市利辛县胡集镇,,1.6,13.3,N,
M4741,,China,Anhui Wugou Coal Mine,,安徽恒源煤电股份有限公司五沟煤矿,,,https://www.gem.wiki/安徽恒源煤电股份有限公司五沟煤矿,Operating,,,,Anhui Hengyuan Coal Power Co Ltd,E100002009231,安徽恒源煤电股份有限公司五沟煤矿,Anhui Hengyuan Coal Power Co Ltd [100.0%],China,0.9,,2023.0,,Underground,,,,Exact,2073.0,Exact,Bituminous,Met,,,,,17.0,2025.0,92.0,18.0,2008.0,,,,,33.552505,116.636984,Exact,,,,突出矿井,2024.0,,,,,N,N,12.87,0.0086,0.71,0.26,E100002009231 [100.0%],安徽省淮北市濉溪县五沟镇庙前村,,1.6,12.8,N,
M3030,,China,Anji Xinyuan Coal Mine,,山西古县安吉欣源煤业有限公司,,,https://www.gem.wiki/山西古县安吉欣源煤业有限公司,Operating,,,,Shanxi Guxian Anji Xinyuan Coal Industry,,,,China,0.9,,2022.0,,Underground,Longwall,,,Exact,821.0,Exact,Bituminous,Met,,,,,6.0,2017.0,34.0,7.0,2021.0,,5.0,2017.0,Huoxi,36.419151,112.057556,Exact,,,,低瓦斯,2023.0,,,,,N,N,12.56,0.0084,0.69,0.25,,山西省临汾市古县古阳镇安吉村,,1.6,12.5,N,
M0165,,China,Anjialing Open-Pit Mine,,中煤平朔集团有限公司安家岭露天矿,,,https://www.gem.wiki/中煤平朔集团有限公司安家岭露天矿,Operating,,,,China Coal Pingshuo Group,,,,China,25.0,,2024.0,,Surface,Open Pit,,,Estimate,677.0,Exact,Bituminous,Thermal & Chemical,,,,,428.0,,680.0,17.0,2006.0,,10.0,2023.0,Ningwu,39.472723,112.410858,Exact,Chemical Plant,,,,,,,,,N,N,274.84,0.1841,15.19,5.49,,山西省朔州市平鲁区,,1.5,10.5,N,
M3031,,China,Anjiazhuang Coal Mine,,甘肃永润安家庄煤矿有限公司,,,https://www.gem.wiki/甘肃永润安家庄煤矿有限公司,Proposed,Construction,New,,Pingliang Tianyuan Coal Electrochemical Company,,,,China,5.0,,,,Underground,Longwall,,,Exact,,,Bituminous,Chemical,,,,,158.0,2024.0,,,,,24.0,2024.0,Lingtai,35.002032,107.233881,Exact,Chemical Plant,甘肃永润煤基新材料集团有限公司,,高瓦斯,2024.0,,,,,N,N,67.57,0.0453,3.73,1.35,,甘肃省平凉市灵台县安家庄	,,1.6,12.1,N,
M1099,,China,Anshan Coal Mine,,陕西涌鑫矿业有限责任公司安山煤矿,,,https://www.gem.wiki/陕西涌鑫矿业有限责任公司安山煤矿,Operating,,New,,Shaanxi Yongxin Mining Company,,,,China,3.9,,2024.0,,Underground,Longwall,,,Exact,804.0,Exact,Bituminous,Thermal & Chemical,,,,,116.0,2023.0,224.0,30.0,2012.0,,10.0,2024.0,,39.264201,110.784527,Exact,Coal Plant,沙川沟电厂、神东电厂,,低瓦斯,2022.0,,,,,N,N,42.68,0.0286,2.36,0.85,,陕西省榆林市府谷县庙沟门镇庙沟门村,,1.6,9.8,N,
M3032,,China,Anshun Le'an Coal Mine,,山西昔阳安顺乐安煤业有限公司,,,https://www.gem.wiki/山西昔阳安顺乐安煤业有限公司,Operating,,Resource Consolidation and Restructuring,,Shanxi Xiyang Anshun Le'an Coal Industry Company,,,,China,0.9,,2022.0,,Underground,Longwall,,,Exact,642.0,Exact,Anthracite,Thermal,,,,,57.0,2015.0,,63.0,2001.0,,40.0,,Qinshui,37.638337,113.660658,Exact,,,,高瓦斯,2024.0,,,,,Y,N,23.37,0.0157,1.29,0.47,,山西省晋中市昔阳县乐平镇安坪村,,1.6,23.2,N,
M3033,,China,Anshun Sandu Coal Mine,,山西昔阳安顺三都煤业有限公司,,,https://www.gem.wiki/山西昔阳安顺三都煤业有限公司,Operating,,,,Shanxi Xiyang Anshun Sandu Coal Industry Company,,,,China,0.9,,2022.0,,Surface,Open Pit,,,Exact,101.0,Exact,Anthracite,Thermal,,,,,24.0,2017.0,30.0,,2007.0,,,,Qinshui,37.484246,113.682682,Exact,,,,,,,,,,N,N,19.22,0.0129,1.06,0.38,,山西省晋中市昔阳县三都乡三都村,,1.5,20.4,N,
M1813,,China,Antai Coal Mine,,山西宏盛安泰煤业有限公司,,,https://www.gem.wiki/山西宏盛安泰煤业有限公司,Operating,,,,Shanxi Hongsheng Antai Coal Industry Company,,,,China,1.5,,2022.0,,Underground,Longwall,,,Exact,895.0,Exact,Bituminous,Met,,,,,15.0,2018.0,,10.0,2011.0,,5.0,,Hedong,37.589747,110.905741,Exact,,,,低瓦斯,2024.0,,,,,N,N,27.44,0.0184,1.52,0.55,,山西省吕梁市柳林县王家沟乡刘家湾村,,1.6,16.4,N,
M0166,,China,Antaibao Surface Mine,,中煤平朔集团有限公司安太堡露天矿,,,https://www.gem.wiki/中煤平朔集团有限公司安太堡露天矿,Operating,,,,China Coal Pingshuo Group,,,,China,20.0,,2024.0,,Surface,Open Pit,,,Estimate,503.0,Exact,Bituminous,Thermal,,,,,491.0,,906.0,25.0,1988.0,,36.0,,,39.466011,112.33793,Exact,,,,,,,,,,N,N,219.87,0.1473,12.15,4.39,,山西省朔州市平鲁区安太堡村,,1.5,10.5,N,
M1814,,China,Anxin Coal Mine,,山西安鑫煤业有限公司,,,https://www.gem.wiki/山西安鑫煤业有限公司,Operating,,,,Shanxi Anxin Coal Industry Company,,,,China,1.2,,2022.0,,Underground,Longwall,,,Exact,928.0,Exact,Bituminous,Met,,,,,20.0,2021.0,,17.0,2011.0,,12.0,,Qinshui,36.446988,112.106278,Exact,,,,高瓦斯,2024.0,,,,,N,N,16.54,0.0111,0.91,0.33,,山西省临汾市安泽县唐城镇三交村,,1.6,12.3,N,
M2406,,China,Aojiagou Xiliang Coal Mine,,准格尔旗神山煤炭有限责任公司敖家沟西梁煤矿,,,https://www.gem.wiki/准格尔旗神山煤炭有限责任公司敖家沟西梁煤矿,Mothballed,,,,Jungar Banner Shenshan Coal Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,246.0,Estimate,Bituminous,Thermal,,,,,19.0,2017.0,,16.0,2007.0,,8.0,,Dongsheng,39.669495,110.307246,Exact,,,,低瓦斯,2016.0,,,,,N,N,24.69,0.0165,1.36,0.49,,内蒙古自治区准格尔旗准格尔召镇铧尖村,,1.6,18.4,N,
M2397,,China,Awuzisu Coal Mine,,新疆准东老君庙矿区四号矿井（阿吾孜苏煤矿）,,,https://www.gem.wiki/新疆准东老君庙矿区四号矿井（阿吾孜苏煤矿）一期工程,Proposed,Construction,New,Phase 1,Urumqi Xinweixin Import and Export Trade,,,,China,1.2,,,,Underground,,,,Estimate,,,Bituminous,Thermal & Chemical,,,,,273.0,2021.0,378.0,227.0,,,163.0,2022.0,,44.493876,90.680115,Exact,Chemical Plant,新疆伟泽综合能源开发有限公司120万吨/年兰炭生产及尾气发电项目,,低瓦斯,2022.0,,,,,N,N,17.81,0.0119,0.98,0.36,,新疆昌吉州木垒哈萨克自治县老君庙矿区,,1.6,13.3,N,
M0167,,China,Ba Leng Coal Mine,,鄂托克前旗恒源投资实业有限责任公司巴愣煤矿,,,https://www.gem.wiki/鄂托克前旗恒源投资实业有限责任公司巴愣煤矿,Proposed,Permitted,New,,Etuoke Qianqi Hengyuan Investment Industrial Company,,,,China,8.0,,,,Underground,,,,Estimate,35.0,Exact,Bituminous,Thermal,,,,,1020.0,2023.0,1670.0,128.0,,,75.0,,,38.474786,106.668299,Approximate,,,,,,,,,,N,N,118.7,0.0795,6.56,2.37,,内蒙古鄂尔多斯市鄂托克前旗上海庙镇,,1.6,13.3,N,
M0168,,China,Baijia Haizi Coal Mine,,内蒙古鄂尔多斯联海煤业有限公司白家海子煤矿,,,https://www.gem.wiki/内蒙古鄂尔多斯联海煤业有限公司白家海子煤矿,Proposed,Construction,New,,Inner Mongolia Ordos Lianhai Coal Industry Company,,,,China,15.0,,,,Underground,Longwall,,,Estimate,1783.0,Exact,Bituminous,Thermal,,,,,2033.0,,,136.0,2026.0,,,,Dongsheng,38.361384,108.941762,Exact,,,,低瓦斯,2024.0,,,,,N,N,222.57,0.1491,12.3,4.44,,内蒙古鄂尔多斯市乌审旗嘎鲁图镇神水台村,,1.6,13.3,N,
M2922,,China,Baijialiang Coal Mine,内蒙古伊泰白家梁煤炭有限公司白家梁煤矿,内蒙古伊泰煤炭股份有限公司白家梁煤矿,,,https://www.gem.wiki/内蒙古伊泰煤炭股份有限公司白家梁煤矿,Operating,,,,Inner Mongolia Yitai Investment Company,,,,China,0.9,,2024.0,,Surface,Open Pit,,,Exact,220.0,Exact,Bituminous,Thermal,,,,,3.0,2025.0,4.0,3.0,2021.0,,2.0,2025.0,Dongsheng,39.556388,110.260531,Exact,,,,,,,,,,N,N,3.56,0.0024,0.2,0.07,,内蒙古自治区鄂尔多斯市伊金霍洛旗纳林陶亥镇,,1.5,3.8,N,
M1815,,China,Baijigou Coal Mine,,国家能源集团宁夏煤业有限责任公司白芨沟煤矿（曾用名：神华宁夏煤业集团白芨沟煤矿）,,,https://www.gem.wiki/国家能源集团宁夏煤业有限责任公司白芨沟煤矿,Operating,,Expansion,,National Energy Group Ningxia Coal Industry Company Baijigou Coal Mine,E100002010601,,National Energy Group Ningxia Coal Industry Company Baijigou Coal Mine [100.0%],China,1.6,,2024.0,,Underground,Longwall,,,Exact,1221.0,Exact,Anthracite,Thermal & Chemical,,,,,61.0,2022.0,,38.0,1972.0,,29.0,2022.0,Helanshan,39.115672,106.137228,Exact,Coal Plant,Shenhua Guoneng Ningxia Coal and Electricity,,高瓦斯,2024.0,,,,,N,N,39.67,0.0266,2.19,0.79,E100002010601 [100.0%],宁夏石嘴山市大武口区白芨沟,,1.6,22.2,N,
M0169,,China,Bailongshan No. 1 Coal Mine,,华能云南滇东能源有限责任公司白龙山煤矿一井,,,https://www.gem.wiki/云南白龙山煤矿一井,Proposed,Construction,New,,Huaneng Yunnan Diandong Energy Co Ltd,E100000122594,华能云南滇东能源有限责任公司,Huaneng Power International Inc [100.0%],China,3.0,,,,Underground,Longwall,,,Exact,1688.0,Exact,Anthracite,Thermal,,,,,261.0,2022.0,460.0,87.0,,,62.0,2022.0,Diandong,25.200079,104.674631,Exact,Coal Plant,Diandong power station,https://www.gem.wiki/Diandong_power_station,突出矿井,2022.0,,,,,N,N,100.36,0.0672,5.55,2.0,E100000000217 [100.0%],云南省曲靖市富源县十八连山镇,,1.6,30.0,N,
M1816,,China,Bailu Coal Mine,,榆林市榆阳区白鹭煤矿,,,https://www.gem.wiki/榆林市榆阳区白鹭煤矿,Operating,,Resource Consolidation and Restructuring,,Yulin City Yuyang District Bailu Coal Mine Company,,,,China,1.2,,2022.0,,Underground,Longwall,,,Exact,107.0,Exact,Bituminous,Thermal,,,,,18.0,2012.0,51.0,15.0,1996.0,,24.0,2012.0,Yushen,38.406162,109.866964,Exact,,,,低瓦斯,2012.0,,,,,N,N,9.83,0.0066,0.54,0.2,,陕西省榆林市榆阳区牛家梁镇常乐堡村,,1.6,7.3,N,
M1817,,China,Baiping Coal Mine,,郑煤集团（河南）白坪煤业有限公司,,,https://www.gem.wiki/郑煤集团（河南）白坪煤业有限公司,Operating,,,,Zhengzhou Coal Group (Henan) Baiping Coal Industry Company,,郑煤集团（河南）白坪煤业有限公司,,China,1.8,,2023.0,,Underground,Longwall,,,Estimate,2686.0,Exact,Bituminous,Thermal,,,,,44.0,2023.0,72.0,24.0,2008.0,,45.0,2013.0,Dengfeng,34.354137,113.085152,Exact,Coal Plant,Zhengzhou Yuzhong Energy Company,,突出矿井,2025.0,,,,,N,Y,26.71,0.0179,1.48,0.53,,河南省郑州市登封市东华镇幽兰村,,1.6,13.3,N,
M0170,,China,Baishihu Surface Mine,,伊吾广汇矿业有限公司白石湖露天煤矿,,,https://www.gem.wiki/伊吾广汇矿业有限公司白石湖露天煤矿,Operating,,Expansion,,Yiwu Gunaghui Mining Company,,,,China,35.0,,2024.0,,Surface,Open Pit,,,Exact,1828.0,Exact,Bituminous,Thermal & Chemical,,,,,459.0,2023.0,689.0,26.0,2017.0,,23.0,2023.0,Naomaohu Coalfield,43.902992,94.665857,Exact,Chemical Plant,广汇能源120万吨/年煤制甲醇联产7亿方LNG、1000万吨/年煤炭分级综合利用项目,,低瓦斯,,,,,,N,N,69.63,0.0466,3.85,1.39,,新疆维吾尔自治区哈密地区伊吾县淖毛湖镇,,1.5,1.9,N,
M0171,,China,Baishupo Coal Mine,,准格尔旗柏树坡煤炭有限责任公司,,,https://www.gem.wiki/准格尔旗柏树坡煤炭有限责任公司,Shelved,Construction,Expansion,,Zhungeer Banner Baishupo Coal Company,,,,China,1.2,,,,Underground,,,,Estimate,260.0,Exact,Bituminous,Thermal,,,,,25.0,,38.0,21.0,,,16.0,,Jungar,39.725303,111.335131,Exact,,,,,,,,,,N,N,17.81,0.0119,0.98,0.36,,内蒙古鄂尔多斯市准格尔旗薛家湾镇城坡村,,1.6,13.3,N,
M0172,,China,Baiyanghe Coal Mine,,新疆明基能源有限公司白杨河矿井,,,https://www.gem.wiki/新疆明基能源有限公司白杨河矿井,Proposed,Construction,New,Phase 1,Xinjiang Mingji Energy Company,,,,China,1.2,,,,Underground,Longwall,,,Estimate,,,Bituminous,Thermal & Chemical,,,,,504.0,2021.0,825.0,,,,,,,43.811918,86.461408,Approximate,Coal Plant,新疆明基汇强电力有限公司电厂,,高瓦斯,2025.0,,,,,N,N,17.81,0.0119,0.98,0.36,,新疆维吾尔自治区昌吉回族自治州呼图壁县雀儿沟镇,,1.6,13.3,N,
M2430,,China,Baiyangling Coal Mine,,中煤昔阳能源有限责任公司白羊岭煤矿,,,https://www.gem.wiki/中煤昔阳能源有限责任公司白羊岭煤矿,Operating,,,,China Coal Xiyang Energy,E100002009488,,China Coal Xiyang Energy [100.0%],China,1.5,,2022.0,,Underground,Longwall,,,Estimate,1049.0,Exact,Anthracite,Thermal & Met,50.0,50.0,Estimated,2019.0,38.0,2019.0,75.0,25.0,2012.0,,18.0,2019.0,Qinshui,37.507157,113.623609,Exact,,,,突出矿井,2024.0,,,,,N,Y,39.48,0.0265,2.18,0.79,E100002009488 [100.0%],山西省晋中市昔阳县大寨镇白羊岭村,,1.6,23.6,N,
M0173,,China,Baiyinhua Haizhou No. 4 Surface Mine,白音华四号露天矿二期（井工）,内蒙古白音华海州露天煤矿有限公司,,,https://www.gem.wiki/内蒙古白音华海州露天煤矿有限公司四号露天矿,Operating,,Expansion,Phase 2,Inner Mongolia Baiyinhua Haizhou Surface Mine Company,,,,China,8.0,,2025.0,,Underground,,,,Estimate,3588.0,Exact,Lignite,Thermal,,,,,417.0,2021.0,691.0,52.0,2018.0,,40.0,2021.0,,44.956453,118.643704,Exact,,,,高瓦斯,2024.0,,,,,N,N,38.42,0.0257,2.12,0.77,,"内蒙古自治区西鸟珠穆沁旗白音华镇
镇",,1.6,4.3,N,
M0173,,China,Baiyinhua Haizhou No. 4 Surface Mine,白音华四号露天矿,内蒙古白音华海州露天煤矿有限公司,,,https://www.gem.wiki/内蒙古白音华海州露天煤矿有限公司四号露天矿,Operating,,,Phase 1,Inner Mongolia Baiyinhua Haizhou Surface Mine Company,,,,China,5.0,,2025.0,,Surface,Open Pit,,,Exact,1122.0,Exact,Lignite,Thermal,,,,,88.0,2021.0,124.0,18.0,2015.0,,20.0,2021.0,,44.940512,118.678819,Exact,Coal Plant,Bayanhua Jinshan power station,https://www.gem.wiki/Bayanhua_Jinshan_power_station,,,,,,,N,N,9.46,0.0063,0.52,0.19,,"内蒙古自治区西鸟珠穆沁旗白音华镇
镇",,1.5,1.8,N,
M0174,,China,Baiyinhua No. 2 Surface Mine,国家电投集团内蒙古白音华煤电有限公司露天矿（白音华二号露天矿）,内蒙古锡林郭勒白音华煤电有限责任公司露天矿,,,https://www.gem.wiki/内蒙古锡林郭勒白音华煤电有限责任公司露天矿,Operating,,,,Inner Mongolia Xilin Gol Baiyinhua Coal and Electricity Company,,,,China,15.0,,2022.0,,Surface,Open Pit,,,Exact,2885.0,Exact,Lignite,Thermal,,,,,669.0,2022.0,998.0,45.0,2012.0,,49.0,,,44.809523,118.500466,Exact,Coal Plant,国家电投集团内蒙古白音华煤电有限公司坑口发电分公司,https://www.gem.wiki/CPI_Baiyinhua_power_station,,,,,,,N,N,48.93,0.0328,2.7,0.98,,内蒙古自治区西鸟珠穆沁旗巴彦花镇,,1.5,3.1,N,
M0175,,China,Baiyinhua No.1 Surface Mine,内蒙古西乌旗白音华一号露天煤矿,内蒙古平西白音华煤业有限公司,,,https://www.gem.wiki/内蒙古平西白音华煤业有限公司（白音华一号露天煤矿）,Operating,,New,,Inner Mongolia Pingxi Baiyinhua Coal Industry Group,,,,China,12.0,,2025.0,,Surface,Open Pit,,,Exact,1368.0,Exact,Lignite,Thermal & Chemical,,,,,526.0,2025.0,749.0,44.0,2016.0,,42.0,2025.0,,44.786827,118.455621,Exact,,,,,,,,,,N,N,50.26,0.0337,2.78,1.0,,内蒙古自治区西鸟珠穆沁旗巴彦花镇,,1.5,4.0,N,
M0176,,China,Baiyinhua No.3 Surface Mine,,内蒙古白音华蒙东露天煤业有限公司白音华三号露天矿,,,https://www.gem.wiki/内蒙古白音华蒙东露天煤业有限公司白音华煤田三号露天矿,Operating,,,,Inner Mongolia Baiyinhua Mengdong Surface Coal Industry Company,,,,China,20.0,,2023.0,,Surface,Open Pit,,,Exact,2809.0,Exact,Lignite,Thermal,,,,,767.0,2022.0,1452.0,38.0,2017.0,,35.0,2023.0,Baiyinhua,44.897826,118.615908,Exact,,,,,,,,,,N,N,48.98,0.0328,2.71,0.98,,内蒙古自治区西鸟珠穆沁旗巴彦花镇,,1.5,2.3,N,
M1100,,China,Baiyinwusu Coal Mine,乌海市神华君正实业有限责任公司白音乌素煤矿,神华集团海勃湾矿业有限责任公司白音乌素煤矿,,,https://www.gem.wiki/Baiyinwusu_Coal_Mine,Mothballed,,Expansion,,Shenhua Group Bohaiwan Mining Company,,,,China,1.2,,2022.0,,Underground,,,,Estimate,,,Lignite,Thermal,,,,,,,,,,,,,,39.835551,106.776748,Exact,,,,,,,,,,N,N,5.76,0.0039,0.32,0.12,,内蒙古自治区乌海市,,1.6,4.3,N,
M1802,,China,Baiyunwusu Coal Mine,,内蒙古维维能源有限公司白云乌素煤矿,,,https://www.gem.wiki/内蒙古维维能源有限公司白云乌素煤矿,Operating,,,,Inner Mongolia Weiwei Energy Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,350.0,Estimate,Bituminous,Met,,,,,23.0,2015.0,26.0,,2008.0,,,,Zhuozishan,39.402765,106.953195,Exact,,,,低瓦斯,2011.0,,,,,N,N,24.39,0.0163,1.35,0.49,,内蒙古自治区乌海市海南区西来峰工业园区白云乌素矿区,,1.6,18.2,N,
M1818,,China,Baizhuang Coal Mine,,肥城白庄煤矿有限公司,,,https://www.gem.wiki/肥城白庄煤矿有限公司,Operating,,,,Feicheng Baizhuang Coal Mine Company,,,,China,1.4,,2025.0,,Underground,,,,Exact,1772.0,Exact,Bituminous,Met,,,,,11.0,2019.0,,8.0,1978.0,,8.0,2019.0,Feicheng,36.241169,116.613278,Exact,,,,低瓦斯,2019.0,,,,,N,N,25.15,0.0169,1.39,0.5,,山东省泰安市肥城市湖屯镇白庄村,,1.6,16.1,N,
