GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,11.8,2.64,1.72,0.9
2,109.55,18.15,12.4,2.76,1.79,0.94
3,109.65,18.15,12.5,2.79,1.81,0.95
4,109.45,18.25,14.2,3.2,2.05,1.06
5,109.55,18.25,13.6,3.05,1.95,1.01
6,109.65,18.25,12.3,2.76,1.75,0.92
7,109.75,18.25,11.9,2.65,1.7,0.89
8,108.95,18.35,12.3,2.8,1.83,0.88
9,109.05,18.35,12.9,2.96,1.9,0.94
10,109.15,18.35,13.3,3.05,1.92,0.97
11,109.25,18.35,14.9,3.42,2.16,1.09
12,109.35,18.35,16.9,3.89,2.41,1.25
13,109.45,18.35,18.8,4.34,2.63,1.41
14,109.55,18.35,17.0,3.88,2.35,1.26
15,109.65,18.35,14.7,3.31,2.05,1.07
16,109.75,18.35,12.9,2.88,1.79,0.94
21,108.85,18.45,13.1,2.96,1.97,0.92
22,108.95,18.45,14.5,3.28,2.15,1.02
23,109.05,18.45,13.8,3.17,2.01,0.99
24,109.15,18.45,16.1,3.72,2.3,1.17
25,109.25,18.45,17.1,3.95,2.44,1.25
26,109.35,18.45,12.1,2.8,1.7,0.91
27,109.45,18.45,15.1,3.5,2.05,1.14
28,109.55,18.45,13.6,3.15,1.85,1.03
29,109.65,18.45,16.7,3.79,2.28,1.23
30,109.75,18.45,13.7,3.04,1.85,0.98
31,109.85,18.45,15.2,3.35,2.03,1.08
32,109.95,18.45,15.1,3.36,2.07,1.09
33,110.05,18.45,15.4,3.44,2.19,1.14
34,108.65,18.55,13.1,2.99,1.97,0.92
35,108.75,18.55,14.0,3.19,2.09,0.98
36,108.85,18.55,14.1,3.19,2.1,0.99
37,108.95,18.55,13.9,3.17,2.05,0.97
38,109.05,18.55,17.5,4.02,2.54,1.24
39,109.15,18.55,15.4,3.57,2.21,1.12
40,109.25,18.55,12.6,2.94,1.81,0.93
41,109.35,18.55,14.5,3.4,2.04,1.08
42,109.45,18.55,9.5,2.22,1.32,0.71
43,109.55,18.55,14.7,3.43,2.02,1.11
44,109.65,18.55,18.7,4.34,2.59,1.39
45,109.75,18.55,17.8,4.02,2.43,1.3
46,109.85,18.55,14.9,3.32,2.02,1.07
47,109.95,18.55,15.1,3.39,2.08,1.09
48,110.05,18.55,16.2,3.66,2.31,1.19
49,110.15,18.55,15.3,3.44,2.2,1.14
50,108.75,18.65,12.3,2.81,1.83,0.85
51,108.85,18.65,10.4,2.37,1.53,0.72
52,108.95,18.65,13.4,3.06,1.97,0.93
53,109.05,18.65,17.2,3.98,2.54,1.22
54,109.15,18.65,17.8,4.16,2.59,1.29
55,109.25,18.65,13.6,3.2,1.98,1.0
56,109.35,18.65,11.4,2.71,1.66,0.85
57,109.45,18.65,9.3,2.2,1.34,0.69
58,109.55,18.65,17.4,4.11,2.49,1.31
59,109.65,18.65,20.0,4.69,2.84,1.5
60,109.75,18.65,19.5,4.55,2.77,1.44
61,109.85,18.65,17.2,3.96,2.45,1.26
62,109.95,18.65,15.4,3.53,2.19,1.12
63,110.05,18.65,14.0,3.17,1.98,1.01
64,110.15,18.65,15.0,3.4,2.12,1.08
65,110.25,18.65,15.2,3.43,2.18,1.11
66,110.35,18.65,14.5,3.24,2.08,1.07
67,110.45,18.65,13.7,3.06,1.96,1.02
68,108.65,18.75,14.1,3.2,2.09,0.97
69,108.75,18.75,13.7,3.11,1.99,0.93
70,108.85,18.75,8.7,1.97,1.26,0.59
71,108.95,18.75,8.7,1.98,1.27,0.6
72,109.05,18.75,16.0,3.75,2.36,1.14
73,109.15,18.75,19.2,4.53,2.84,1.39
74,109.25,18.75,18.8,4.44,2.78,1.37
75,109.35,18.75,9.9,2.37,1.47,0.73
76,109.45,18.75,11.6,2.78,1.75,0.9
77,109.55,18.75,15.2,3.64,2.28,1.18
78,109.65,18.75,10.7,2.54,1.57,0.8
79,109.75,18.75,14.7,3.49,2.17,1.12
80,109.85,18.75,9.9,2.34,1.46,0.74
81,109.95,18.75,11.1,2.58,1.62,0.82
82,110.05,18.75,15.8,3.6,2.22,1.15
83,110.15,18.75,16.4,3.72,2.3,1.18
84,110.25,18.75,14.0,3.18,2.0,1.01
85,110.35,18.75,14.9,3.34,2.14,1.08
86,110.45,18.75,15.8,3.51,2.26,1.14
87,110.55,18.75,14.4,3.2,2.07,1.06
88,108.65,18.85,15.3,3.47,2.27,1.05
89,108.75,18.85,15.3,3.48,2.21,1.04
90,108.85,18.85,10.7,2.45,1.55,0.73
91,108.95,18.85,9.2,2.13,1.36,0.63
92,109.05,18.85,14.9,3.48,2.2,1.05
93,109.15,18.85,16.6,3.92,2.47,1.2
94,109.25,18.85,14.9,3.52,2.23,1.08
95,109.35,18.85,7.9,1.88,1.21,0.59
96,109.45,18.85,12.8,3.06,1.93,0.99
97,109.55,18.85,10.8,2.57,1.63,0.83
98,109.65,18.85,9.6,2.28,1.46,0.73
99,109.75,18.85,8.7,2.07,1.32,0.66
100,109.85,18.85,8.8,2.08,1.31,0.66
101,109.95,18.85,9.6,2.26,1.43,0.72
102,110.05,18.85,16.2,3.76,2.32,1.18
103,110.15,18.85,17.3,3.95,2.44,1.25
104,110.25,18.85,16.0,3.61,2.26,1.14
105,110.35,18.85,16.4,3.67,2.33,1.16
106,110.45,18.85,16.1,3.59,2.3,1.15
107,110.55,18.85,15.3,3.4,2.18,1.11
108,108.65,18.95,15.7,3.53,2.32,1.06
109,108.75,18.95,16.0,3.64,2.33,1.08
110,108.85,18.95,16.1,3.69,2.31,1.09
111,108.95,18.95,14.8,3.4,2.15,1.02
112,109.05,18.95,10.2,2.38,1.53,0.71
113,109.15,18.95,10.9,2.57,1.64,0.77
114,109.25,18.95,12.3,2.92,1.87,0.9
115,109.35,18.95,13.7,3.25,2.07,1.02
116,109.45,18.95,14.4,3.43,2.19,1.09
117,109.55,18.95,12.8,3.06,1.95,0.98
118,109.65,18.95,10.6,2.54,1.62,0.8
119,109.75,18.95,7.8,1.85,1.19,0.58
120,109.85,18.95,9.6,2.27,1.45,0.71
121,109.95,18.95,9.4,2.22,1.41,0.69
122,110.05,18.95,16.5,3.85,2.4,1.2
123,110.15,18.95,16.9,3.93,2.44,1.23
124,110.25,18.95,15.2,3.44,2.17,1.07
125,110.35,18.95,15.0,3.36,2.13,1.05
126,110.45,18.95,16.2,3.58,2.26,1.13
127,110.55,18.95,15.9,3.5,2.21,1.13
128,108.65,19.05,16.8,3.79,2.49,1.13
129,108.75,19.05,17.9,4.03,2.53,1.19
130,108.85,19.05,16.9,3.84,2.4,1.13
131,108.95,19.05,18.4,4.24,2.65,1.26
132,109.05,19.05,10.5,2.44,1.57,0.73
133,109.15,19.05,11.9,2.79,1.82,0.86
134,109.25,19.05,13.2,3.11,2.01,0.97
135,109.35,19.05,14.1,3.35,2.16,1.05
136,109.45,19.05,13.4,3.2,2.06,1.01
137,109.55,19.05,11.1,2.65,1.72,0.84
138,109.65,19.05,9.7,2.31,1.49,0.73
