GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,14.1,3.12,2.07,0.99
2,109.55,18.15,14.2,3.15,2.09,1.0
3,109.65,18.15,14.2,3.15,2.07,0.99
4,109.45,18.25,15.1,3.39,2.18,1.06
5,109.55,18.25,14.9,3.35,2.16,1.05
6,109.65,18.25,14.4,3.21,2.07,1.01
7,109.75,18.25,13.9,3.09,2.02,0.97
8,108.95,18.35,14.7,3.3,2.18,1.0
9,109.05,18.35,14.9,3.36,2.17,1.03
10,109.15,18.35,15.1,3.43,2.16,1.06
11,109.25,18.35,15.4,3.5,2.19,1.08
12,109.35,18.35,15.8,3.61,2.23,1.11
13,109.45,18.35,16.7,3.83,2.33,1.18
14,109.55,18.35,16.2,3.69,2.26,1.14
15,109.65,18.35,15.0,3.36,2.11,1.04
16,109.75,18.35,14.5,3.19,2.03,0.99
21,108.85,18.45,15.4,3.42,2.31,1.02
22,108.95,18.45,16.0,3.6,2.38,1.07
23,109.05,18.45,14.7,3.33,2.13,1.02
24,109.15,18.45,15.9,3.6,2.25,1.12
25,109.25,18.45,16.0,3.63,2.26,1.12
26,109.35,18.45,13.6,3.1,1.91,0.95
27,109.45,18.45,14.3,3.28,1.97,1.01
28,109.55,18.45,14.5,3.32,1.99,1.03
29,109.65,18.45,15.5,3.47,2.14,1.07
30,109.75,18.45,15.0,3.27,2.06,1.01
31,109.85,18.45,15.6,3.36,2.12,1.04
32,109.95,18.45,15.4,3.38,2.17,1.04
33,110.05,18.45,15.4,3.39,2.24,1.05
34,108.65,18.55,16.0,3.59,2.42,1.07
35,108.75,18.55,16.1,3.6,2.43,1.07
36,108.85,18.55,15.8,3.53,2.38,1.04
37,108.95,18.55,15.3,3.46,2.27,1.02
38,109.05,18.55,16.1,3.67,2.34,1.11
39,109.15,18.55,15.2,3.47,2.17,1.07
40,109.25,18.55,14.2,3.27,2.03,1.0
41,109.35,18.55,14.5,3.35,2.05,1.02
42,109.45,18.55,11.0,2.54,1.56,0.78
43,109.55,18.55,14.4,3.32,2.02,1.02
44,109.65,18.55,15.7,3.58,2.2,1.1
45,109.75,18.55,16.1,3.56,2.23,1.09
46,109.85,18.55,15.3,3.32,2.11,1.03
47,109.95,18.55,15.4,3.39,2.17,1.03
48,110.05,18.55,16.2,3.59,2.35,1.1
49,110.15,18.55,15.4,3.39,2.25,1.05
50,108.75,18.65,15.3,3.44,2.3,1.01
51,108.85,18.65,15.1,3.41,2.23,1.01
52,108.95,18.65,15.1,3.41,2.23,1.02
53,109.05,18.65,16.5,3.77,2.43,1.13
54,109.15,18.65,15.8,3.66,2.33,1.11
55,109.25,18.65,14.4,3.36,2.11,1.02
56,109.35,18.65,13.2,3.07,1.93,0.93
57,109.45,18.65,11.0,2.55,1.63,0.78
58,109.55,18.65,15.1,3.52,2.2,1.08
59,109.65,18.65,16.6,3.83,2.39,1.18
60,109.75,18.65,16.6,3.79,2.39,1.17
61,109.85,18.65,16.0,3.61,2.32,1.11
62,109.95,18.65,15.4,3.44,2.22,1.05
63,110.05,18.65,14.7,3.28,2.12,1.0
64,110.15,18.65,15.1,3.37,2.18,1.03
65,110.25,18.65,15.8,3.49,2.3,1.07
66,110.35,18.65,15.5,3.41,2.28,1.05
67,110.45,18.65,14.9,3.27,2.22,1.01
68,108.65,18.75,16.6,3.71,2.5,1.1
69,108.75,18.75,15.7,3.55,2.31,1.04
70,108.85,18.75,12.0,2.69,1.77,0.79
71,108.95,18.75,11.5,2.6,1.71,0.77
72,109.05,18.75,15.7,3.63,2.35,1.08
73,109.15,18.75,16.7,3.89,2.5,1.17
74,109.25,18.75,16.1,3.76,2.4,1.13
75,109.35,18.75,11.5,2.68,1.72,0.82
76,109.45,18.75,12.3,2.89,1.88,0.9
77,109.55,18.75,13.5,3.19,2.06,1.0
78,109.65,18.75,11.7,2.71,1.75,0.83
79,109.75,18.75,14.2,3.3,2.13,1.03
80,109.85,18.75,10.8,2.5,1.65,0.78
81,109.95,18.75,12.8,2.91,1.9,0.9
82,110.05,18.75,15.5,3.47,2.23,1.06
83,110.15,18.75,15.6,3.45,2.23,1.05
84,110.25,18.75,15.6,3.47,2.25,1.05
85,110.35,18.75,16.5,3.65,2.42,1.11
86,110.45,18.75,15.8,3.44,2.33,1.05
87,110.55,18.75,15.0,3.27,2.23,1.01
88,108.65,18.85,17.6,3.95,2.65,1.16
89,108.75,18.85,16.5,3.71,2.44,1.08
90,108.85,18.85,14.4,3.26,2.13,0.96
91,108.95,18.85,11.6,2.64,1.75,0.77
92,109.05,18.85,15.4,3.56,2.32,1.05
93,109.15,18.85,15.3,3.56,2.3,1.07
94,109.25,18.85,14.6,3.42,2.21,1.03
95,109.35,18.85,12.8,3.0,1.95,0.92
96,109.45,18.85,13.0,3.06,2.0,0.95
97,109.55,18.85,12.1,2.84,1.87,0.89
98,109.65,18.85,10.5,2.46,1.64,0.77
99,109.75,18.85,10.5,2.42,1.61,0.75
100,109.85,18.85,10.9,2.52,1.66,0.78
101,109.95,18.85,12.9,2.97,1.94,0.91
102,110.05,18.85,14.8,3.34,2.15,1.02
103,110.15,18.85,15.4,3.42,2.21,1.04
104,110.25,18.85,15.6,3.44,2.25,1.04
105,110.35,18.85,16.6,3.64,2.4,1.1
106,110.45,18.85,15.9,3.46,2.33,1.06
107,110.55,18.85,15.3,3.33,2.25,1.02
108,108.65,18.95,17.6,3.94,2.64,1.15
109,108.75,18.95,17.5,3.94,2.58,1.14
110,108.85,18.95,17.3,3.94,2.53,1.13
111,108.95,18.95,15.7,3.59,2.33,1.04
112,109.05,18.95,12.4,2.84,1.89,0.83
113,109.15,18.95,12.1,2.77,1.86,0.82
114,109.25,18.95,12.5,2.91,1.94,0.88
115,109.35,18.95,13.3,3.11,2.05,0.95
116,109.45,18.95,13.3,3.13,2.06,0.96
117,109.55,18.95,13.0,3.05,2.01,0.95
118,109.65,18.95,11.3,2.64,1.76,0.82
119,109.75,18.95,9.3,2.15,1.46,0.67
120,109.85,18.95,12.3,2.86,1.89,0.88
121,109.95,18.95,13.0,2.98,1.96,0.91
122,110.05,18.95,14.9,3.39,2.21,1.02
123,110.15,18.95,15.5,3.5,2.28,1.05
124,110.25,18.95,15.5,3.4,2.24,1.03
125,110.35,18.95,15.3,3.33,2.21,1.0
126,110.45,18.95,15.9,3.41,2.25,1.03
127,110.55,18.95,15.3,3.28,2.19,1.0
128,108.65,19.05,18.5,4.14,2.77,1.2
129,108.75,19.05,18.2,4.08,2.61,1.16
130,108.85,19.05,17.8,4.02,2.56,1.14
131,108.95,19.05,17.8,4.06,2.61,1.17
132,109.05,19.05,12.8,2.93,1.97,0.87
133,109.15,19.05,13.2,3.02,2.05,0.92
134,109.25,19.05,13.5,3.11,2.1,0.95
135,109.35,19.05,13.9,3.24,2.16,0.99
136,109.45,19.05,13.3,3.11,2.09,0.96
137,109.55,19.05,12.4,2.9,1.95,0.9
138,109.65,19.05,11.3,2.64,1.77,0.82
139,109.75,19.05,10.7,2.48,1.68,0.77
140,109.85,19.05,14.3,3.33,2.23,1.04
141,109.95,19.05,11.0,2.52,1.69,0.77
142,110.05,19.05,11.2,2.55,1.71,0.76
143,110.15,19.05,13.6,3.07,2.05,0.91
144,110.25,19.05,15.3,3.41,2.27,1.02
145,110.35,19.05,14.6,3.14,2.09,0.96
146,110.45,19.05,14.7,3.1,2.06,0.95
147,110.55,19.05,14.8,3.1,2.06,0.95
148,108.65,19.15,19.2,4.13,2.78,1.18
149,108.75,19.15,18.7,4.11,2.65,1.16
150,108.85,19.15,18.4,4.11,2.62,1.17
151,108.95,19.15,19.0,4.08,2.62,1.16
152,109.05,19.15,16.7,3.59,2.39,1.04
153,109.15,19.15,11.4,2.56,1.77,0.78
154,109.25,19.15,11.9,2.62,1.81,0.78
155,109.35,19.15,13.3,2.94,2.01,0.88
156,109.45,19.15,13.0,3.02,2.05,0.93
157,109.55,19.15,11.8,2.74,1.87,0.85
158,109.65,19.15,11.0,2.54,1.73,0.77
159,109.75,19.15,11.0,2.54,1.73,0.77
160,109.85,19.15,14.7,3.43,2.29,1.06
161,109.95,19.15,14.8,3.43,2.27,1.02
162,110.05,19.15,15.8,3.59,2.38,1.06
163,110.15,19.15,15.4,3.48,2.32,1.03
164,110.25,19.15,14.7,3.27,2.2,0.98
165,110.35,19.15,15.0,3.22,2.17,0.97
166,110.45,19.15,16.5,3.47,2.31,1.07
167,110.55,19.15,16.5,3.46,2.3,1.07
168,108.65,19.25,19.1,3.97,2.68,1.13
169,108.75,19.25,18.4,3.78,2.51,1.07
170,108.85,19.25,18.5,3.76,2.45,1.06
171,108.95,19.25,19.2,3.89,2.57,1.1
172,109.05,19.25,19.9,4.04,2.67,1.16
173,109.15,19.25,16.7,3.39,2.28,0.98
174,109.25,19.25,15.7,3.26,2.22,0.95
175,109.35,19.25,13.0,2.8,1.93,0.81
176,109.45,19.25,15.9,3.53,2.37,1.04
177,109.55,19.25,13.5,3.11,2.1,0.93
178,109.65,19.25,12.4,2.85,1.94,0.85
179,109.75,19.25,11.6,2.66,1.82,0.79
180,109.85,19.25,14.6,3.36,2.23,1.0
181,109.95,19.25,14.5,3.32,2.21,0.98
182,110.05,19.25,15.4,3.5,2.35,1.03
183,110.15,19.25,15.4,3.46,2.32,1.03
184,110.25,19.25,15.1,3.3,2.23,0.99
185,110.35,19.25,14.7,3.15,2.14,0.95
186,110.45,19.25,17.6,3.73,2.51,1.13
187,110.55,19.25,17.6,3.73,2.48,1.13
188,110.65,19.25,16.7,3.58,2.39,1.1
189,108.65,19.35,18.7,3.78,2.58,1.08
190,108.75,19.35,18.0,3.47,2.33,0.99
191,108.85,19.35,18.6,3.53,2.36,1.02
192,108.95,19.35,19.0,3.68,2.46,1.05
193,109.05,19.35,18.4,3.59,2.4,1.03
194,109.15,19.35,18.8,3.6,2.43,1.03
195,109.25,19.35,17.1,3.37,2.28,0.97
196,109.35,19.35,16.8,3.55,2.38,1.02
197,109.45,19.35,15.2,3.42,2.3,0.98
198,109.55,19.35,14.8,3.41,2.3,0.99
199,109.65,19.35,14.2,3.26,2.2,0.96
200,109.75,19.35,15.9,3.67,2.46,1.07
201,109.85,19.35,15.6,3.58,2.42,1.04
202,109.95,19.35,14.3,3.25,2.19,0.94
203,110.05,19.35,15.1,3.39,2.28,1.0
204,110.15,19.35,16.1,3.53,2.41,1.05
205,110.25,19.35,15.3,3.33,2.28,0.99
206,110.35,19.35,14.7,3.17,2.16,0.95
207,110.45,19.35,16.3,3.47,2.36,1.05
208,110.55,19.35,16.6,3.52,2.37,1.07
209,110.65,19.35,17.3,3.7,2.47,1.13
210,108.85,19.45,18.8,3.56,2.38,1.02
211,108.95,19.45,19.8,3.82,2.6,1.08
212,109.05,19.45,20.7,4.02,2.73,1.12
213,109.15,19.45,20.1,3.82,2.58,1.09
214,109.25,19.45,19.7,3.87,2.61,1.09
215,109.35,19.45,18.8,3.99,2.7,1.1
216,109.45,19.45,16.9,3.83,2.57,1.11
217,109.55,19.45,17.3,3.98,2.67,1.15
218,109.65,19.45,16.7,3.8,2.56,1.08
219,109.75,19.45,16.6,3.8,2.56,1.1
220,109.85,19.45,15.5,3.53,2.39,1.03
221,109.95,19.45,15.2,3.43,2.32,0.99
222,110.05,19.45,15.6,3.46,2.34,1.02
223,110.15,19.45,15.7,3.45,2.36,1.02
224,110.25,19.45,15.9,3.48,2.38,1.03
225,110.35,19.45,15.5,3.33,2.29,1.0
226,110.45,19.45,15.7,3.34,2.28,1.01
227,110.55,19.45,15.7,3.33,2.27,1.02
228,110.65,19.45,16.4,3.52,2.36,1.08
229,110.75,19.45,17.2,3.7,2.52,1.18
230,108.95,19.55,22.3,4.42,3.04,1.22
231,109.05,19.55,21.3,4.25,2.95,1.16
232,109.15,19.55,20.7,4.12,2.84,1.13
233,109.25,19.55,20.6,4.23,2.92,1.15
234,109.35,19.55,20.7,4.42,3.02,1.2
235,109.45,19.55,18.9,4.17,2.83,1.15
236,109.55,19.55,19.4,4.4,2.95,1.25
237,109.65,19.55,16.8,3.79,2.59,1.08
238,109.75,19.55,16.0,3.61,2.48,1.03
239,109.85,19.55,15.9,3.57,2.42,1.03
240,109.95,19.55,15.8,3.51,2.38,1.02
241,110.05,19.55,16.0,3.55,2.4,1.03
242,110.15,19.55,16.0,3.52,2.37,1.03
243,110.25,19.55,15.7,3.43,2.34,1.01
244,110.35,19.55,15.8,3.39,2.34,1.01
245,110.45,19.55,16.1,3.43,2.36,1.04
246,110.55,19.55,15.6,3.31,2.25,1.02
247,110.65,19.55,16.2,3.48,2.34,1.07
248,110.75,19.55,18.0,3.86,2.58,1.2
249,110.85,19.55,16.5,3.54,2.39,1.13
251,109.15,19.65,21.5,4.45,3.27,1.26
252,109.25,19.65,21.0,4.39,3.19,1.21
253,109.35,19.65,20.3,4.36,3.07,1.21
254,109.45,19.65,19.2,4.19,2.92,1.19
255,109.55,19.65,17.7,3.9,2.72,1.12
256,109.65,19.65,16.4,3.62,2.53,1.04
257,109.75,19.65,16.4,3.62,2.53,1.04
258,109.85,19.65,16.3,3.58,2.49,1.04
259,109.95,19.65,15.8,3.48,2.4,1.01
260,110.05,19.65,15.6,3.43,2.35,0.99
261,110.15,19.65,16.2,3.54,2.42,1.03
262,110.25,19.65,16.7,3.64,2.47,1.06
263,110.35,19.65,17.0,3.67,2.5,1.1
264,110.45,19.65,16.9,3.61,2.49,1.1
265,110.55,19.65,16.7,3.55,2.42,1.09
266,110.65,19.65,16.2,3.47,2.34,1.07
267,110.75,19.65,17.6,3.74,2.51,1.16
268,110.85,19.65,16.3,3.44,2.33,1.08
269,110.95,19.65,15.3,3.25,2.2,1.03
270,111.05,19.65,14.7,3.13,2.16,1.01
271,109.15,19.75,20.9,4.33,3.25,1.24
272,109.25,19.75,21.4,4.47,3.29,1.26
273,109.35,19.75,20.3,4.36,3.18,1.23
274,109.45,19.75,19.2,4.19,2.97,1.2
275,109.55,19.75,18.3,3.98,2.83,1.14
276,109.65,19.75,18.0,3.87,2.81,1.12
277,109.75,19.75,17.4,3.77,2.7,1.09
278,109.85,19.75,17.4,3.8,2.67,1.1
279,109.95,19.75,17.5,3.78,2.69,1.1
280,110.05,19.75,17.9,3.84,2.71,1.12
281,110.15,19.75,17.8,3.88,2.65,1.12
282,110.25,19.75,18.3,3.94,2.73,1.16
283,110.35,19.75,18.5,3.88,2.73,1.17
284,110.45,19.75,17.7,3.77,2.58,1.15
285,110.55,19.75,17.1,3.63,2.48,1.11
286,110.65,19.75,16.5,3.47,2.41,1.06
287,110.75,19.75,16.2,3.43,2.32,1.07
288,110.85,19.75,16.2,3.42,2.32,1.06
289,110.95,19.75,15.9,3.36,2.3,1.05
291,109.25,19.85,20.3,4.27,3.18,1.2
292,109.35,19.85,19.5,4.15,3.07,1.17
293,109.45,19.85,18.7,4.02,2.94,1.14
294,109.55,19.85,18.3,3.91,2.88,1.12
295,109.65,19.85,19.3,4.12,3.05,1.19
296,109.75,19.85,18.3,3.89,2.87,1.13
297,109.85,19.85,17.8,3.81,2.77,1.11
298,109.95,19.85,18.4,3.84,2.87,1.13
299,110.05,19.85,18.6,3.88,2.87,1.14
300,110.15,19.85,18.3,3.82,2.77,1.14
301,110.25,19.85,19.1,3.95,2.85,1.18
302,110.35,19.85,20.0,4.13,2.97,1.24
303,110.45,19.85,18.2,3.79,2.7,1.14
304,110.55,19.85,16.9,3.52,2.47,1.07
305,110.65,19.85,16.3,3.39,2.39,1.04
306,110.75,19.85,16.6,3.49,2.42,1.07
307,110.85,19.85,15.1,3.19,2.21,0.99
308,110.95,19.85,15.1,3.19,2.23,1.0
309,109.55,19.95,18.6,3.89,3.0,1.12
310,109.65,19.95,19.3,4.04,3.08,1.17
311,109.75,19.95,19.1,3.97,3.05,1.16
312,109.85,19.95,18.7,3.84,2.98,1.13
313,109.95,19.95,18.0,3.71,2.84,1.09
314,110.05,19.95,18.7,3.81,2.89,1.12
315,110.15,19.95,20.1,4.0,3.07,1.2
316,110.25,19.95,20.0,3.99,3.02,1.21
317,110.35,19.95,19.1,3.88,2.86,1.16
318,110.45,19.95,19.2,3.89,2.85,1.17
319,110.55,19.95,17.5,3.58,2.59,1.07
320,110.65,19.95,17.4,3.59,2.56,1.09
321,110.75,19.95,16.4,3.43,2.43,1.05
322,110.85,19.95,15.7,3.3,2.36,1.01
323,110.95,19.95,15.4,3.25,2.32,1.01
324,110.15,20.05,22.1,4.34,3.36,1.31
325,110.25,20.05,21.0,4.13,3.19,1.25
326,110.35,20.05,20.4,4.07,3.07,1.23
327,110.45,20.05,21.9,4.38,3.19,1.32
328,110.55,20.05,20.3,4.06,2.96,1.23
329,110.65,20.05,19.8,4.02,2.92,1.22
330,110.75,20.05,18.3,3.81,2.74,1.16
331,110.65,20.15,20.5,4.14,3.08,1.27
332,109.95,20.25,22.3,4.53,3.55,1.34
333,110.05,20.25,22.5,4.58,3.55,1.35
334,110.15,20.25,23.1,4.71,3.61,1.4
335,110.25,20.25,24.8,5.02,3.8,1.51
336,110.35,20.25,25.5,5.13,3.88,1.55
337,109.85,20.35,21.0,4.27,3.42,1.26
338,109.95,20.35,21.8,4.46,3.53,1.31
339,110.05,20.35,20.7,4.27,3.28,1.26
340,110.15,20.35,21.2,4.46,3.3,1.32
341,110.25,20.35,21.4,4.47,3.34,1.32
342,110.35,20.35,23.0,4.71,3.56,1.41
343,110.45,20.35,22.0,4.54,3.44,1.38
344,109.85,20.45,20.7,4.21,3.39,1.24
345,109.95,20.45,21.1,4.33,3.46,1.26
346,110.05,20.45,19.5,4.05,3.18,1.19
347,110.15,20.45,19.7,4.12,3.12,1.22
348,110.25,20.45,18.9,3.94,3.03,1.17
349,110.35,20.45,18.7,3.87,3.02,1.16
350,110.45,20.45,19.5,4.02,3.1,1.22
351,110.55,20.45,19.4,4.0,3.07,1.22
352,109.85,20.55,20.3,4.19,3.39,1.21
353,109.95,20.55,18.9,3.9,3.16,1.13
354,110.05,20.55,18.7,3.86,3.1,1.12
355,110.15,20.55,18.5,3.84,3.05,1.12
356,110.25,20.55,18.2,3.76,2.97,1.11
357,110.35,20.55,18.0,3.73,2.95,1.11
358,110.45,20.55,18.5,3.82,3.02,1.14
359,109.75,20.65,19.7,4.07,3.3,1.17
360,109.85,20.65,18.9,3.91,3.18,1.12
361,109.95,20.65,18.6,3.82,3.11,1.11
362,110.05,20.65,19.0,3.94,3.17,1.14
363,110.15,20.65,18.6,3.87,3.07,1.12
364,110.25,20.65,18.4,3.8,3.03,1.12
365,110.35,20.65,18.5,3.83,3.04,1.13
366,110.45,20.65,19.1,3.94,3.14,1.18
367,109.75,20.75,20.1,4.16,3.39,1.2
368,109.85,20.75,19.0,3.94,3.21,1.13
369,109.95,20.75,19.1,3.93,3.23,1.13
370,110.05,20.75,18.6,3.82,3.13,1.1
371,110.15,20.75,18.2,3.77,3.03,1.1
372,110.25,20.75,18.6,3.85,3.1,1.12
373,110.35,20.75,20.2,4.15,3.36,1.23
374,109.65,20.85,19.5,4.03,3.37,1.14
375,109.75,20.85,20.5,4.24,3.48,1.21
376,109.85,20.85,19.2,3.92,3.25,1.13
377,109.95,20.85,18.5,3.77,3.15,1.09
378,110.05,20.85,19.9,4.06,3.35,1.18
379,110.15,20.85,20.0,4.08,3.35,1.19
380,110.25,20.85,19.3,3.92,3.21,1.16
381,110.35,20.85,20.3,4.17,3.4,1.22
384,109.65,20.95,19.8,4.08,3.44,1.16
385,109.75,20.95,20.1,4.12,3.44,1.18
386,109.85,20.95,18.3,3.68,3.14,1.07
387,109.95,20.95,20.1,4.07,3.39,1.19
388,110.05,20.95,20.4,4.12,3.41,1.21
389,110.15,20.95,21.2,4.25,3.52,1.26
390,110.25,20.95,21.5,4.33,3.56,1.28
391,110.35,20.95,20.6,4.21,3.47,1.24
392,110.45,20.95,20.4,4.2,3.43,1.25
393,110.55,20.95,19.6,4.04,3.29,1.21
403,109.65,21.05,20.8,4.26,3.62,1.2
404,109.75,21.05,21.4,4.35,3.62,1.25
405,109.85,21.05,18.8,3.78,3.24,1.1
406,109.95,21.05,18.5,3.67,3.18,1.07
407,110.05,21.05,20.9,4.16,3.52,1.22
408,110.15,21.05,21.3,4.25,3.55,1.26
409,110.25,21.05,22.1,4.42,3.65,1.31
410,110.35,21.05,22.9,4.65,3.81,1.36
411,110.45,21.05,20.4,4.21,3.45,1.24
412,110.55,21.05,19.3,3.98,3.26,1.18
420,101.75,21.15,16.8,3.93,2.71,1.17
423,109.65,21.15,21.1,4.33,3.67,1.23
424,109.75,21.15,21.3,4.31,3.63,1.24
425,109.85,21.15,19.1,3.81,3.3,1.11
426,109.95,21.15,19.8,3.92,3.43,1.15
427,110.05,21.15,21.0,4.16,3.63,1.22
428,110.15,21.15,21.0,4.14,3.58,1.21
429,110.25,21.15,23.1,4.6,3.89,1.36
430,110.35,21.15,23.2,4.65,3.9,1.37
431,110.45,21.15,23.8,4.83,3.99,1.41
432,110.55,21.15,20.8,4.24,3.49,1.24
435,101.25,21.25,17.9,4.19,2.89,1.23
436,101.35,21.25,16.4,3.85,2.64,1.13
437,101.45,21.25,16.7,3.91,2.68,1.15
439,101.65,21.25,16.6,3.9,2.68,1.15
440,101.75,21.25,16.5,3.85,2.66,1.14
443,109.75,21.25,22.2,4.42,3.85,1.29
444,109.85,21.25,21.1,4.16,3.72,1.22
445,109.95,21.25,19.9,3.91,3.5,1.15
446,110.05,21.25,19.8,3.86,3.49,1.13
447,110.15,21.25,20.6,3.99,3.67,1.18
448,110.25,21.25,21.1,4.12,3.71,1.22
449,110.35,21.25,22.9,4.54,3.88,1.34
450,110.45,21.25,24.1,4.8,4.01,1.4
451,110.55,21.25,23.3,4.65,3.86,1.36
452,110.65,21.25,20.9,4.23,3.48,1.24
465,101.25,21.35,18.0,4.22,2.9,1.24
466,101.35,21.35,17.0,3.99,2.73,1.18
467,101.45,21.35,17.1,4.01,2.75,1.19
468,101.55,21.35,16.8,3.94,2.71,1.16
469,101.65,21.35,16.2,3.8,2.6,1.12
474,109.85,21.35,21.0,4.12,3.73,1.21
475,109.95,21.35,20.9,4.06,3.7,1.2
476,110.05,21.35,20.1,3.83,3.53,1.13
477,110.15,21.35,20.9,4.02,3.75,1.18
478,110.25,21.35,22.1,4.23,3.92,1.24
479,110.35,21.35,25.3,4.88,4.37,1.43
480,110.45,21.35,24.9,4.94,4.15,1.45
481,110.55,21.35,23.7,4.71,3.93,1.38
482,110.65,21.35,23.8,4.78,3.94,1.41
483,110.75,21.35,23.0,4.68,3.88,1.38
484,110.85,21.35,21.7,4.49,3.71,1.32
498,101.25,21.45,18.2,4.27,2.91,1.26
499,101.35,21.45,17.3,4.07,2.76,1.21
500,101.45,21.45,16.4,3.84,2.6,1.15
501,101.55,21.45,16.5,3.86,2.63,1.15
502,101.65,21.45,16.4,3.86,2.62,1.15
503,101.75,21.45,16.7,3.89,2.67,1.16
506,109.05,21.45,23.7,4.77,4.22,1.29
507,109.15,21.45,24.0,4.83,4.24,1.31
508,109.25,21.45,25.3,5.08,4.45,1.39
509,109.35,21.45,24.6,4.96,4.38,1.36
510,109.45,21.45,23.8,4.83,4.24,1.35
511,109.85,21.45,22.4,4.27,3.95,1.26
512,109.95,21.45,22.0,4.14,3.9,1.21
513,110.05,21.45,21.2,3.95,3.74,1.15
514,110.15,21.45,21.3,3.98,3.74,1.17
515,110.25,21.45,24.1,4.52,4.19,1.32
516,110.35,21.45,26.5,5.01,4.58,1.48
517,110.45,21.45,25.5,4.92,4.36,1.45
518,110.55,21.45,23.8,4.7,4.03,1.39
519,110.65,21.45,25.3,4.99,4.27,1.49
520,110.75,21.45,25.1,5.03,4.22,1.49
521,110.85,21.45,22.7,4.62,3.83,1.35
522,110.95,21.45,21.6,4.36,3.65,1.27
523,111.05,21.45,20.7,4.17,3.49,1.22
524,111.15,21.45,20.2,4.09,3.43,1.2
525,111.25,21.45,19.7,4.0,3.33,1.18
526,111.35,21.45,19.6,3.99,3.33,1.17
530,100.15,21.55,19.0,4.51,3.09,1.3
531,100.25,21.55,18.9,4.51,3.06,1.29
532,100.35,21.55,18.8,4.49,3.01,1.29
533,100.45,21.55,18.2,4.34,2.87,1.26
534,100.55,21.55,18.2,4.35,2.88,1.26
535,100.65,21.55,18.0,4.3,2.87,1.24
541,101.25,21.55,17.5,4.12,2.79,1.21
542,101.35,21.55,17.5,4.09,2.76,1.22
543,101.45,21.55,17.7,4.13,2.78,1.26
544,101.55,21.55,17.1,3.98,2.67,1.22
545,101.65,21.55,17.2,4.03,2.72,1.22
546,101.75,21.55,16.4,3.83,2.62,1.15
554,107.95,21.55,25.4,5.16,4.34,1.44
555,108.05,21.55,24.8,5.01,4.26,1.39
556,108.15,21.55,24.8,5.0,4.28,1.37
557,108.25,21.55,24.5,4.95,4.27,1.36
559,108.45,21.55,25.1,5.05,4.38,1.38
560,109.15,21.55,27.0,5.3,4.67,1.43
561,109.25,21.55,26.6,5.24,4.58,1.43
562,109.35,21.55,25.2,5.01,4.43,1.39
563,109.45,21.55,26.0,5.16,4.61,1.46
564,109.55,21.55,24.3,4.79,4.34,1.37
565,109.65,21.55,22.3,4.31,3.95,1.25
566,109.75,21.55,22.2,4.17,3.98,1.23
567,109.85,21.55,23.3,4.3,4.17,1.26
568,109.95,21.55,22.4,4.11,3.96,1.19
569,110.05,21.55,22.5,4.1,3.9,1.18
570,110.15,21.55,23.0,4.11,3.92,1.19
571,110.25,21.55,23.6,4.25,4.01,1.24
572,110.35,21.55,24.9,4.63,4.31,1.37
573,110.45,21.55,25.8,4.92,4.54,1.49
574,110.55,21.55,25.3,4.88,4.44,1.49
575,110.65,21.55,25.3,4.93,4.33,1.49
576,110.75,21.55,25.2,4.92,4.24,1.49
577,110.85,21.55,24.6,4.79,4.15,1.45
578,110.95,21.55,22.6,4.47,3.77,1.33
579,111.05,21.55,21.5,4.28,3.63,1.27
580,111.15,21.55,21.9,4.36,3.71,1.28
581,111.25,21.55,21.4,4.26,3.63,1.24
582,111.35,21.55,20.1,4.06,3.42,1.17
583,111.45,21.55,20.3,4.12,3.48,1.18
584,111.55,21.55,20.8,4.2,3.52,1.21
585,111.65,21.55,19.7,4.0,3.38,1.16
586,111.85,21.55,19.7,4.04,3.43,1.19
591,100.25,21.65,19.4,4.65,3.09,1.33
592,100.35,21.65,18.7,4.49,2.97,1.3
593,100.45,21.65,18.0,4.31,2.84,1.25
594,100.55,21.65,18.5,4.42,2.9,1.28
595,100.65,21.65,18.6,4.45,2.9,1.28
596,100.75,21.65,18.4,4.37,2.87,1.26
601,101.25,21.65,17.6,4.09,2.78,1.2
602,101.35,21.65,17.3,4.0,2.68,1.2
603,101.45,21.65,17.0,3.96,2.64,1.22
604,101.55,21.65,16.8,3.91,2.6,1.2
605,101.65,21.65,17.2,4.0,2.68,1.22
606,101.75,21.65,16.6,3.87,2.65,1.17
614,107.55,21.65,19.4,4.02,3.63,1.13
615,107.65,21.65,18.6,3.79,3.44,1.07
616,107.75,21.65,25.0,5.17,4.41,1.46
