GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,11.2,2.44,1.6,0.78
2,109.55,18.15,11.6,2.53,1.66,0.81
3,109.65,18.15,11.6,2.55,1.66,0.81
4,109.45,18.25,12.1,2.68,1.73,0.84
5,109.55,18.25,11.7,2.57,1.66,0.81
6,109.65,18.25,11.9,2.61,1.69,0.83
7,109.75,18.25,11.2,2.44,1.58,0.77
8,108.95,18.35,12.4,2.73,1.8,0.83
9,109.05,18.35,12.5,2.75,1.8,0.84
10,109.15,18.35,12.3,2.75,1.77,0.84
11,109.25,18.35,13.4,3.0,1.93,0.93
12,109.35,18.35,14.5,3.25,2.07,1.01
13,109.45,18.35,13.6,3.05,1.91,0.93
14,109.55,18.35,13.8,3.11,1.93,0.95
15,109.65,18.35,13.3,2.93,1.84,0.91
16,109.75,18.35,11.7,2.57,1.62,0.79
21,108.85,18.45,12.9,2.81,1.87,0.84
22,108.95,18.45,13.5,2.96,1.95,0.89
23,109.05,18.45,12.5,2.8,1.82,0.85
24,109.15,18.45,13.0,2.94,1.89,0.9
25,109.25,18.45,13.5,3.06,1.96,0.94
26,109.35,18.45,13.6,3.06,1.93,0.94
27,109.45,18.45,13.9,3.18,1.95,0.96
28,109.55,18.45,13.9,3.18,1.95,0.96
29,109.65,18.45,13.5,3.0,1.86,0.91
30,109.75,18.45,12.5,2.74,1.71,0.82
31,109.85,18.45,12.6,2.75,1.72,0.83
32,109.95,18.45,12.8,2.81,1.77,0.85
33,110.05,18.45,13.2,2.92,1.86,0.9
34,108.65,18.55,12.9,2.83,1.87,0.83
35,108.75,18.55,13.4,2.95,1.95,0.87
36,108.85,18.55,13.0,2.86,1.89,0.85
37,108.95,18.55,12.4,2.75,1.79,0.81
38,109.05,18.55,14.4,3.23,2.09,0.97
39,109.15,18.55,13.9,3.15,2.01,0.96
40,109.25,18.55,13.1,2.99,1.9,0.9
41,109.35,18.55,14.3,3.3,2.07,0.99
42,109.45,18.55,11.9,2.72,1.7,0.82
43,109.55,18.55,13.5,3.09,1.91,0.93
44,109.65,18.55,14.5,3.3,2.04,0.99
45,109.75,18.55,12.6,2.83,1.77,0.84
46,109.85,18.55,12.2,2.7,1.69,0.81
47,109.95,18.55,12.6,2.79,1.75,0.84
48,110.05,18.55,13.1,2.91,1.84,0.88
49,110.15,18.55,13.0,2.89,1.85,0.89
50,108.75,18.65,13.0,2.87,1.88,0.83
51,108.85,18.65,13.3,2.96,1.93,0.86
52,108.95,18.65,13.7,3.08,2.0,0.9
53,109.05,18.65,13.8,3.14,2.03,0.92
54,109.15,18.65,14.1,3.25,2.08,0.95
55,109.25,18.65,13.1,3.02,1.92,0.89
56,109.35,18.65,12.6,2.92,1.85,0.86
57,109.45,18.65,11.4,2.65,1.68,0.79
58,109.55,18.65,13.9,3.23,2.03,0.96
59,109.65,18.65,14.2,3.28,2.06,0.98
60,109.75,18.65,13.1,3.01,1.9,0.9
61,109.85,18.65,12.2,2.76,1.75,0.82
62,109.95,18.65,12.3,2.77,1.75,0.83
63,110.05,18.65,12.4,2.78,1.75,0.84
64,110.15,18.65,13.0,2.9,1.82,0.87
65,110.25,18.65,12.9,2.85,1.81,0.86
66,110.35,18.65,12.0,2.65,1.7,0.81
67,110.45,18.65,11.5,2.52,1.62,0.77
68,108.65,18.75,13.9,3.07,2.03,0.89
69,108.75,18.75,14.4,3.22,2.1,0.92
70,108.85,18.75,12.7,2.84,1.85,0.81
71,108.95,18.75,12.0,2.73,1.77,0.78
72,109.05,18.75,14.0,3.23,2.07,0.93
73,109.15,18.75,15.1,3.52,2.25,1.02
74,109.25,18.75,15.0,3.51,2.24,1.01
75,109.35,18.75,11.5,2.68,1.72,0.79
76,109.45,18.75,11.8,2.77,1.77,0.83
77,109.55,18.75,12.3,2.89,1.84,0.87
78,109.65,18.75,11.6,2.69,1.71,0.8
79,109.75,18.75,12.8,2.97,1.89,0.89
80,109.85,18.75,10.1,2.33,1.49,0.7
81,109.95,18.75,11.5,2.62,1.67,0.78
82,110.05,18.75,12.4,2.8,1.76,0.83
83,110.15,18.75,12.8,2.87,1.81,0.85
84,110.25,18.75,12.4,2.77,1.74,0.82
85,110.35,18.75,11.5,2.55,1.62,0.77
86,110.45,18.75,12.5,2.73,1.75,0.83
87,110.55,18.75,11.4,2.49,1.6,0.76
