GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,11.8,2.69,1.71,0.87
2,109.55,18.15,12.1,2.74,1.75,0.89
3,109.65,18.15,12.1,2.75,1.75,0.89
4,109.45,18.25,14.5,3.35,2.08,1.07
5,109.55,18.25,14.5,3.32,2.07,1.06
6,109.65,18.25,12.4,2.83,1.76,0.9
7,109.75,18.25,12.3,2.78,1.75,0.89
8,108.95,18.35,12.4,2.84,1.84,0.87
9,109.05,18.35,12.4,2.85,1.79,0.88
10,109.15,18.35,13.1,3.06,1.88,0.95
11,109.25,18.35,13.7,3.18,1.95,0.99
12,109.35,18.35,16.5,3.83,2.32,1.2
13,109.45,18.35,17.9,4.18,2.48,1.31
14,109.55,18.35,16.3,3.79,2.25,1.19
15,109.65,18.35,14.2,3.26,1.98,1.02
16,109.75,18.35,12.4,2.83,1.74,0.88
21,108.85,18.45,13.1,2.98,1.96,0.9
22,108.95,18.45,14.8,3.38,2.18,1.02
23,109.05,18.45,12.8,2.96,1.84,0.9
24,109.15,18.45,13.6,3.15,1.91,0.98
25,109.25,18.45,15.6,3.64,2.19,1.12
26,109.35,18.45,12.2,2.86,1.7,0.88
27,109.45,18.45,13.9,3.27,1.88,1.01
28,109.55,18.45,13.5,3.16,1.81,0.97
29,109.65,18.45,15.2,3.5,2.08,1.08
30,109.75,18.45,14.6,3.26,1.99,1.01
31,109.85,18.45,14.7,3.27,2.01,1.02
32,109.95,18.45,13.2,2.97,1.85,0.92
33,110.05,18.45,14.6,3.32,2.1,1.04
34,108.65,18.55,13.4,3.06,2.0,0.92
35,108.75,18.55,14.5,3.3,2.16,0.99
36,108.85,18.55,13.8,3.15,2.05,0.95
37,108.95,18.55,13.1,3.02,1.93,0.9
38,109.05,18.55,16.0,3.72,2.3,1.12
39,109.15,18.55,15.0,3.49,2.12,1.07
40,109.25,18.55,11.6,2.73,1.65,0.83
41,109.35,18.55,14.6,3.46,2.04,1.05
42,109.45,18.55,9.1,2.15,1.28,0.66
43,109.55,18.55,14.1,3.31,1.93,1.02
44,109.65,18.55,17.7,4.12,2.43,1.26
45,109.75,18.55,17.2,3.89,2.35,1.19
46,109.85,18.55,15.1,3.36,2.05,1.03
47,109.95,18.55,14.1,3.2,1.99,0.98
48,110.05,18.55,16.3,3.71,2.34,1.15
49,110.15,18.55,12.7,2.9,1.85,0.91
50,108.75,18.65,12.2,2.81,1.8,0.83
51,108.85,18.65,12.4,2.85,1.82,0.84
52,108.95,18.65,13.1,3.04,1.92,0.9
53,109.05,18.65,16.2,3.79,2.36,1.13
54,109.15,18.65,16.7,3.95,2.42,1.19
55,109.25,18.65,13.5,3.2,1.95,0.97
56,109.35,18.65,10.9,2.59,1.58,0.78
57,109.45,18.65,9.1,2.18,1.35,0.67
58,109.55,18.65,17.1,4.08,2.47,1.25
59,109.65,18.65,19.2,4.53,2.72,1.39
60,109.75,18.65,19.4,4.54,2.75,1.38
61,109.85,18.65,16.4,3.8,2.34,1.14
62,109.95,18.65,14.1,3.25,2.01,0.98
63,110.05,18.65,13.1,2.98,1.86,0.91
64,110.15,18.65,14.0,3.17,1.99,0.97
65,110.25,18.65,14.6,3.3,2.09,1.02
66,110.35,18.65,13.6,3.06,1.96,0.97
67,110.45,18.65,13.4,3.0,1.93,0.96
68,108.65,18.75,14.1,3.24,2.1,0.96
69,108.75,18.75,14.1,3.23,2.02,0.95
70,108.85,18.75,9.6,2.21,1.4,0.64
71,108.95,18.75,9.5,2.2,1.4,0.64
