GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,15.4,3.44,2.16,1.25
2,109.55,18.15,15.7,3.51,2.21,1.27
3,109.65,18.15,15.7,3.54,2.22,1.28
4,109.45,18.25,17.5,3.97,2.42,1.42
5,109.55,18.25,17.2,3.88,2.37,1.4
6,109.65,18.25,15.2,3.42,2.08,1.23
7,109.75,18.25,14.2,3.17,1.96,1.15
8,108.95,18.35,15.9,3.59,2.24,1.28
9,109.05,18.35,15.9,3.63,2.22,1.29
10,109.15,18.35,15.8,3.64,2.18,1.28
11,109.25,18.35,17.1,3.92,2.35,1.37
12,109.35,18.35,19.1,4.4,2.6,1.53
13,109.45,18.35,20.0,4.61,2.66,1.61
14,109.55,18.35,18.5,4.25,2.45,1.49
15,109.65,18.35,17.2,3.91,2.31,1.38
16,109.75,18.35,15.6,3.47,2.07,1.25
21,108.85,18.45,17.2,3.9,2.46,1.38
22,108.95,18.45,18.0,4.08,2.54,1.44
23,109.05,18.45,16.7,3.82,2.3,1.32
24,109.15,18.45,18.3,4.21,2.49,1.46
25,109.25,18.45,20.4,4.71,2.77,1.62
26,109.35,18.45,14.5,3.35,1.94,1.18
27,109.45,18.45,16.2,3.78,2.12,1.31
28,109.55,18.45,14.3,3.31,1.87,1.15
29,109.65,18.45,19.3,4.38,2.51,1.53
30,109.75,18.45,17.5,3.89,2.28,1.37
31,109.85,18.45,18.3,4.01,2.37,1.43
32,109.95,18.45,17.7,3.91,2.34,1.4
33,110.05,18.45,17.6,3.91,2.42,1.4
34,108.65,18.55,17.1,3.87,2.44,1.35
35,108.75,18.55,17.8,4.05,2.54,1.42
36,108.85,18.55,17.6,4.01,2.5,1.41
37,108.95,18.55,16.2,3.72,2.28,1.3
38,109.05,18.55,19.0,4.37,2.63,1.51
39,109.15,18.55,16.5,3.81,2.25,1.31
40,109.25,18.55,14.1,3.27,1.92,1.14
41,109.35,18.55,16.3,3.8,2.17,1.31
42,109.45,18.55,12.0,2.81,1.6,0.99
43,109.55,18.55,16.4,3.83,2.14,1.32
44,109.65,18.55,22.1,5.13,2.89,1.77
45,109.75,18.55,21.6,4.88,2.81,1.69
46,109.85,18.55,18.7,4.14,2.43,1.44
47,109.95,18.55,17.8,3.98,2.36,1.4
48,110.05,18.55,19.7,4.41,2.69,1.58
49,110.15,18.55,17.6,3.9,2.44,1.41
50,108.75,18.65,15.0,3.43,2.11,1.19
51,108.85,18.65,14.5,3.31,2.03,1.13
52,108.95,18.65,14.6,3.33,2.04,1.15
53,109.05,18.65,20.0,4.63,2.8,1.57
54,109.15,18.65,20.3,4.78,2.81,1.61
55,109.25,18.65,17.0,4.0,2.33,1.37
56,109.35,18.65,12.6,2.98,1.73,1.03
57,109.45,18.65,12.7,3.01,1.75,1.05
58,109.55,18.65,21.5,5.12,2.92,1.74
59,109.65,18.65,23.9,5.63,3.22,1.93
60,109.75,18.65,22.9,5.34,3.08,1.82
61,109.85,18.65,20.5,4.72,2.78,1.61
62,109.95,18.65,18.3,4.17,2.49,1.44
63,110.05,18.65,16.1,3.61,2.19,1.26
64,110.15,18.65,17.9,3.98,2.43,1.4
65,110.25,18.65,17.5,3.9,2.39,1.4
66,110.35,18.65,17.3,3.83,2.39,1.39
67,110.45,18.65,16.8,3.71,2.33,1.35
68,108.65,18.75,17.4,3.96,2.47,1.35
69,108.75,18.75,16.0,3.62,2.21,1.23
70,108.85,18.75,10.0,2.28,1.38,0.77
71,108.95,18.75,11.2,2.56,1.56,0.88
72,109.05,18.75,18.7,4.38,2.62,1.48
73,109.15,18.75,22.1,5.24,3.13,1.77
74,109.25,18.75,22.4,5.32,3.16,1.78
75,109.35,18.75,12.9,3.08,1.82,1.07
76,109.45,18.75,15.6,3.75,2.22,1.29
77,109.55,18.75,16.3,3.94,2.32,1.35
78,109.65,18.75,12.9,3.07,1.79,1.05
79,109.75,18.75,16.3,3.9,2.3,1.31
80,109.85,18.75,12.5,2.98,1.78,1.02
81,109.95,18.75,10.6,2.47,1.48,0.85
82,110.05,18.75,18.6,4.18,2.51,1.46
83,110.15,18.75,18.9,4.22,2.54,1.49
84,110.25,18.75,16.1,3.6,2.2,1.28
85,110.35,18.75,18.3,4.04,2.5,1.46
86,110.45,18.75,19.1,4.19,2.62,1.51
87,110.55,18.75,17.1,3.79,2.36,1.37
