GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,11.6,2.59,1.7,0.84
2,109.55,18.15,11.7,2.62,1.72,0.86
3,109.65,18.15,11.8,2.64,1.73,0.86
4,109.45,18.25,12.0,2.69,1.74,0.87
5,109.55,18.25,11.9,2.66,1.73,0.86
6,109.65,18.25,11.6,2.59,1.68,0.84
7,109.75,18.25,11.3,2.51,1.64,0.81
8,108.95,18.35,12.6,2.85,1.89,0.89
9,109.05,18.35,12.7,2.88,1.88,0.91
10,109.15,18.35,12.9,2.94,1.9,0.94
11,109.25,18.35,14.6,3.32,2.13,1.07
12,109.35,18.35,15.6,3.56,2.27,1.14
13,109.45,18.35,15.6,3.55,2.22,1.14
14,109.55,18.35,14.6,3.3,2.07,1.06
15,109.65,18.35,12.7,2.84,1.82,0.92
16,109.75,18.35,12.2,2.69,1.73,0.86
21,108.85,18.45,13.4,3.0,2.02,0.93
22,108.95,18.45,13.6,3.06,2.03,0.95
23,109.05,18.45,12.2,2.8,1.82,0.89
24,109.15,18.45,14.8,3.39,2.15,1.09
25,109.25,18.45,15.6,3.59,2.29,1.15
26,109.35,18.45,12.1,2.78,1.76,0.88
27,109.45,18.45,13.5,3.11,1.92,0.98
28,109.55,18.45,15.6,3.57,2.2,1.13
29,109.65,18.45,14.2,3.2,2.02,1.02
30,109.75,18.45,13.2,2.9,1.86,0.92
31,109.85,18.45,13.8,3.01,1.94,0.95
32,109.95,18.45,13.7,3.01,1.95,0.96
33,110.05,18.45,13.7,3.04,1.97,0.98
34,108.65,18.55,13.7,3.06,2.08,0.94
35,108.75,18.55,13.9,3.12,2.1,0.95
36,108.85,18.55,13.5,3.03,2.03,0.93
37,108.95,18.55,13.1,2.96,1.96,0.91
38,109.05,18.55,15.7,3.6,2.33,1.13
39,109.15,18.55,14.8,3.39,2.17,1.09
40,109.25,18.55,12.7,2.92,1.87,0.93
41,109.35,18.55,15.2,3.52,2.21,1.12
