GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,17.3,3.91,2.48,1.39
2,109.55,18.15,17.5,3.96,2.51,1.4
3,109.65,18.15,17.5,3.96,2.5,1.4
4,109.45,18.25,18.7,4.26,2.63,1.49
5,109.55,18.25,18.7,4.25,2.63,1.49
6,109.65,18.25,17.9,4.05,2.51,1.41
7,109.75,18.25,17.6,3.98,2.47,1.4
8,108.95,18.35,17.8,4.05,2.58,1.4
9,109.05,18.35,17.9,4.08,2.56,1.42
10,109.15,18.35,18.6,4.26,2.64,1.48
11,109.25,18.35,19.2,4.39,2.7,1.52
12,109.35,18.35,20.0,4.57,2.78,1.58
13,109.45,18.35,21.2,4.87,2.92,1.68
14,109.55,18.35,20.3,4.65,2.79,1.6
15,109.65,18.35,19.0,4.31,2.63,1.49
16,109.75,18.35,18.8,4.21,2.59,1.45
21,108.85,18.45,18.7,4.27,2.74,1.45
22,108.95,18.45,19.3,4.42,2.81,1.5
23,109.05,18.45,18.5,4.24,2.63,1.46
24,109.15,18.45,20.3,4.63,2.84,1.61
25,109.25,18.45,20.6,4.71,2.88,1.63
26,109.35,18.45,18.6,4.27,2.58,1.47
27,109.45,18.45,19.7,4.57,2.7,1.55
28,109.55,18.45,19.6,4.54,2.68,1.54
29,109.65,18.45,20.5,4.66,2.81,1.6
30,109.75,18.45,19.9,4.42,2.7,1.51
31,109.85,18.45,20.4,4.5,2.76,1.54
32,109.95,18.45,20.0,4.45,2.77,1.53
33,110.05,18.45,19.6,4.42,2.8,1.52
34,108.65,18.55,18.9,4.3,2.8,1.46
35,108.75,18.55,19.3,4.39,2.83,1.48
36,108.85,18.55,19.3,4.41,2.82,1.48
37,108.95,18.55,19.2,4.43,2.8,1.48
38,109.05,18.55,20.5,4.73,2.94,1.6
39,109.15,18.55,19.9,4.58,2.8,1.57
40,109.25,18.55,19.4,4.5,2.74,1.53
41,109.35,18.55,20.3,4.74,2.84,1.59
42,109.45,18.55,16.3,3.8,2.27,1.28
43,109.55,18.55,20.5,4.76,2.83,1.6
44,109.65,18.55,22.2,5.14,3.08,1.72
45,109.75,18.55,22.4,5.04,3.06,1.7
46,109.85,18.55,20.7,4.6,2.82,1.57
47,109.95,18.55,20.6,4.62,2.88,1.57
48,110.05,18.55,21.2,4.81,3.01,1.63
49,110.15,18.55,20.0,4.52,2.88,1.55
50,108.75,18.65,18.4,4.19,2.7,1.39
51,108.85,18.65,19.2,4.4,2.81,1.44
52,108.95,18.65,19.7,4.53,2.88,1.49
53,109.05,18.65,21.3,4.94,3.08,1.63
54,109.15,18.65,21.2,4.98,3.08,1.64
55,109.25,18.65,20.0,4.71,2.88,1.56
56,109.35,18.65,18.7,4.42,2.69,1.47
57,109.45,18.65,16.2,3.84,2.35,1.28
58,109.55,18.65,21.6,5.13,3.1,1.7
59,109.65,18.65,23.6,5.53,3.35,1.83
60,109.75,18.65,23.1,5.37,3.26,1.78
61,109.85,18.65,22.0,5.09,3.12,1.68
62,109.95,18.65,21.1,4.84,3.01,1.61
63,110.05,18.65,20.1,4.58,2.87,1.53
64,110.15,18.65,20.1,4.59,2.88,1.53
65,110.25,18.65,19.9,4.53,2.85,1.52
66,110.35,18.65,19.4,4.39,2.78,1.48
67,110.45,18.65,19.1,4.31,2.75,1.46
68,108.65,18.75,19.7,4.46,2.91,1.48
69,108.75,18.75,19.4,4.44,2.85,1.43
70,108.85,18.75,16.1,3.68,2.38,1.17
71,108.95,18.75,16.0,3.69,2.37,1.19
72,109.05,18.75,21.1,4.95,3.09,1.62
73,109.15,18.75,22.7,5.37,3.32,1.76
74,109.25,18.75,22.1,5.25,3.23,1.72
75,109.35,18.75,16.6,3.94,2.43,1.31
76,109.45,18.75,17.6,4.23,2.63,1.42
77,109.55,18.75,18.8,4.51,2.79,1.52
78,109.65,18.75,17.6,4.17,2.55,1.37
79,109.75,18.75,20.1,4.78,2.96,1.58
80,109.85,18.75,16.0,3.8,2.38,1.26
81,109.95,18.75,18.1,4.24,2.62,1.4
82,110.05,18.75,20.7,4.73,2.96,1.56
83,110.15,18.75,20.7,4.69,2.95,1.54
84,110.25,18.75,19.8,4.5,2.85,1.48
85,110.35,18.75,19.9,4.51,2.85,1.51
86,110.45,18.75,20.1,4.52,2.89,1.5
87,110.55,18.75,19.4,4.36,2.79,1.45
88,108.65,18.85,21.1,4.79,3.1,1.56
89,108.75,18.85,20.3,4.65,2.98,1.49
90,108.85,18.85,19.0,4.36,2.79,1.39
91,108.95,18.85,16.8,3.88,2.5,1.23
92,109.05,18.85,21.1,4.94,3.11,1.59
93,109.15,18.85,21.2,5.03,3.12,1.64
94,109.25,18.85,20.6,4.89,3.03,1.61
95,109.35,18.85,18.5,4.42,2.73,1.46
96,109.45,18.85,18.1,4.33,2.7,1.46
97,109.55,18.85,16.9,4.05,2.54,1.36
98,109.65,18.85,14.8,3.52,2.23,1.18
99,109.75,18.85,14.9,3.55,2.25,1.17
100,109.85,18.85,15.5,3.67,2.31,1.21
101,109.95,18.85,17.4,4.12,2.56,1.35
102,110.05,18.85,19.5,4.52,2.82,1.48
103,110.15,18.85,20.6,4.68,2.94,1.54
104,110.25,18.85,20.8,4.72,2.99,1.54
105,110.35,18.85,21.2,4.79,3.05,1.56
106,110.45,18.85,20.5,4.62,2.94,1.53
107,110.55,18.85,20.2,4.54,2.89,1.51
108,108.65,18.95,21.3,4.83,3.12,1.55
109,108.75,18.95,21.4,4.9,3.13,1.55
110,108.85,18.95,22.4,5.13,3.26,1.62
111,108.95,18.95,21.7,5.0,3.19,1.58
112,109.05,18.95,18.0,4.18,2.68,1.33
113,109.15,18.95,17.1,4.0,2.56,1.29
114,109.25,18.95,17.7,4.18,2.64,1.36
115,109.35,18.95,18.7,4.47,2.81,1.46
116,109.45,18.95,18.5,4.42,2.78,1.46
117,109.55,18.95,17.5,4.19,2.64,1.39
118,109.65,18.95,15.4,3.67,2.33,1.22
119,109.75,18.95,13.4,3.18,2.03,1.05
120,109.85,18.95,16.6,3.94,2.47,1.29
121,109.95,18.95,17.3,4.11,2.56,1.34
122,110.05,18.95,19.5,4.55,2.84,1.48
123,110.15,18.95,20.5,4.76,3.0,1.54
124,110.25,18.95,20.9,4.73,3.04,1.52
125,110.35,18.95,20.4,4.59,2.95,1.47
126,110.45,18.95,20.9,4.65,2.98,1.49
127,110.55,18.95,21.0,4.67,2.96,1.51
128,108.65,19.05,22.6,5.11,3.31,1.63
129,108.75,19.05,22.7,5.13,3.27,1.6
130,108.85,19.05,22.9,5.22,3.33,1.62
131,108.95,19.05,23.5,5.42,3.45,1.7
132,109.05,19.05,18.0,4.18,2.7,1.34
133,109.15,19.05,18.4,4.29,2.78,1.4
134,109.25,19.05,18.7,4.39,2.8,1.44
135,109.35,19.05,18.7,4.45,2.82,1.45
136,109.45,19.05,18.0,4.29,2.74,1.41
137,109.55,19.05,16.5,3.94,2.53,1.29
138,109.65,19.05,15.4,3.67,2.33,1.22
139,109.75,19.05,14.7,3.5,2.25,1.15
140,109.85,19.05,18.4,4.39,2.8,1.45
141,109.95,19.05,15.0,3.57,2.27,1.15
142,110.05,19.05,15.6,3.64,2.35,1.16
143,110.15,19.05,18.4,4.27,2.76,1.36
144,110.25,19.05,20.5,4.71,3.04,1.5
145,110.35,19.05,19.8,4.44,2.85,1.4
146,110.45,19.05,20.4,4.48,2.92,1.4
147,110.55,19.05,21.1,4.63,3.01,1.45
148,108.65,19.15,23.3,5.14,3.33,1.62
149,108.75,19.15,23.3,5.21,3.34,1.61
150,108.85,19.15,23.8,5.37,3.43,1.66
151,108.95,19.15,25.0,5.4,3.48,1.68
152,109.05,19.15,22.5,4.86,3.14,1.54
153,109.15,19.15,16.4,3.72,2.44,1.21
154,109.25,19.15,16.2,3.58,2.35,1.16
155,109.35,19.15,17.6,3.88,2.53,1.25
156,109.45,19.15,17.1,4.07,2.61,1.33
157,109.55,19.15,15.6,3.71,2.39,1.21
158,109.65,19.15,14.7,3.48,2.25,1.11
159,109.75,19.15,14.7,3.48,2.25,1.12
160,109.85,19.15,18.8,4.48,2.84,1.47
161,109.95,19.15,18.8,4.45,2.83,1.41
162,110.05,19.15,20.2,4.74,3.03,1.48
163,110.15,19.15,20.2,4.68,3.02,1.48
164,110.25,19.15,19.8,4.54,2.97,1.43
165,110.35,19.15,20.2,4.52,2.96,1.41
166,110.45,19.15,21.8,4.8,3.13,1.5
167,110.55,19.15,23.1,5.07,3.28,1.59
168,108.65,19.25,23.1,5.0,3.26,1.56
169,108.75,19.25,22.6,4.83,3.16,1.5
