GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,13.2,2.99,1.91,1.02
2,109.55,18.15,13.6,3.1,1.98,1.06
3,109.65,18.15,13.7,3.13,1.99,1.06
4,109.45,18.25,15.9,3.65,2.29,1.22
5,109.55,18.25,15.7,3.59,2.24,1.2
6,109.65,18.25,13.0,2.99,1.86,1.0
7,109.75,18.25,12.2,2.78,1.73,0.93
8,108.95,18.35,13.2,3.04,1.94,1.0
9,109.05,18.35,13.5,3.12,1.96,1.02
10,109.15,18.35,13.4,3.11,1.95,1.01
11,109.25,18.35,14.4,3.33,2.09,1.08
12,109.35,18.35,17.5,4.04,2.5,1.31
13,109.45,18.35,18.4,4.3,2.59,1.39
14,109.55,18.35,15.7,3.67,2.21,1.18
15,109.65,18.35,13.3,3.06,1.87,0.99
16,109.75,18.35,13.8,3.15,1.92,1.02
21,108.85,18.45,13.8,3.16,2.03,1.02
22,108.95,18.45,14.4,3.31,2.11,1.07
23,109.05,18.45,12.1,2.78,1.75,0.9
24,109.15,18.45,16.0,3.71,2.3,1.2
25,109.25,18.45,17.3,4.02,2.48,1.3
26,109.35,18.45,12.5,2.91,1.77,0.93
27,109.45,18.45,15.2,3.57,2.11,1.14
28,109.55,18.45,14.1,3.31,1.96,1.05
29,109.65,18.45,16.3,3.78,2.26,1.2
30,109.75,18.45,12.6,2.86,1.75,0.91
31,109.85,18.45,15.2,3.41,2.07,1.1
32,109.95,18.45,14.7,3.35,2.05,1.08
33,110.05,18.45,15.5,3.51,2.21,1.16
34,108.65,18.55,14.0,3.22,2.07,1.03
35,108.75,18.55,14.2,3.26,2.09,1.04
36,108.85,18.55,13.7,3.15,2.01,1.01
37,108.95,18.55,12.8,2.96,1.87,0.94
38,109.05,18.55,15.7,3.63,2.27,1.16
39,109.15,18.55,14.7,3.41,2.1,1.09
40,109.25,18.55,11.4,2.67,1.64,0.84
41,109.35,18.55,14.4,3.4,2.06,1.07
42,109.45,18.55,11.1,2.62,1.57,0.83
43,109.55,18.55,14.7,3.47,2.06,1.1
44,109.65,18.55,18.8,4.41,2.63,1.41
45,109.75,18.55,19.3,4.44,2.66,1.41
46,109.85,18.55,14.6,3.31,2.02,1.05
47,109.95,18.55,15.0,3.44,2.1,1.1
48,110.05,18.55,16.4,3.76,2.33,1.22
49,110.15,18.55,15.4,3.5,2.22,1.15
50,108.75,18.65,12.2,2.83,1.79,0.88
51,108.85,18.65,10.5,2.41,1.54,0.74
52,108.95,18.65,12.1,2.78,1.77,0.87
53,109.05,18.65,17.4,4.04,2.53,1.27
54,109.15,18.65,16.9,3.99,2.46,1.25
55,109.25,18.65,13.6,3.22,1.97,1.01
56,109.35,18.65,11.1,2.65,1.61,0.83
57,109.45,18.65,11.5,2.77,1.68,0.87
58,109.55,18.65,18.4,4.38,2.63,1.41
59,109.65,18.65,22.0,5.23,3.13,1.68
60,109.75,18.65,20.9,4.92,2.96,1.57
61,109.85,18.65,18.3,4.27,2.61,1.34
62,109.95,18.65,16.0,3.72,2.27,1.18
63,110.05,18.65,13.4,3.09,1.9,0.98
64,110.15,18.65,14.3,3.27,2.02,1.04
65,110.25,18.65,15.5,3.54,2.21,1.14
66,110.35,18.65,15.3,3.47,2.19,1.14
67,110.45,18.65,14.9,3.37,2.15,1.12
68,108.65,18.75,14.6,3.35,2.15,1.05
69,108.75,18.75,12.4,2.83,1.8,0.87
70,108.85,18.75,9.1,2.1,1.34,0.63
71,108.95,18.75,9.1,2.1,1.34,0.64
72,109.05,18.75,15.6,3.67,2.28,1.14
73,109.15,18.75,20.6,4.89,3.01,1.52
74,109.25,18.75,20.4,4.86,2.99,1.51
75,109.35,18.75,11.7,2.81,1.72,0.88
76,109.45,18.75,13.6,3.27,2.01,1.06
77,109.55,18.75,15.2,3.67,2.25,1.19
78,109.65,18.75,12.7,3.04,1.85,0.97
79,109.75,18.75,15.0,3.57,2.19,1.14
80,109.85,18.75,11.7,2.79,1.73,0.89
81,109.95,18.75,11.0,2.59,1.59,0.81
82,110.05,18.75,15.9,3.68,2.25,1.16
83,110.15,18.75,15.6,3.59,2.21,1.13
84,110.25,18.75,13.4,3.06,1.91,0.97
85,110.35,18.75,15.1,3.43,2.16,1.12
86,110.45,18.75,16.1,3.61,2.3,1.18
87,110.55,18.75,15.2,3.42,2.18,1.12
88,108.65,18.85,15.4,3.52,2.26,1.09
89,108.75,18.85,13.8,3.16,2.01,0.97
90,108.85,18.85,9.8,2.25,1.43,0.68
91,108.95,18.85,10.0,2.32,1.46,0.7
92,109.05,18.85,14.5,3.42,2.12,1.04
93,109.15,18.85,17.1,4.07,2.51,1.26
94,109.25,18.85,15.9,3.79,2.35,1.17
95,109.35,18.85,12.6,3.04,1.88,0.95
96,109.45,18.85,14.7,3.54,2.18,1.14
97,109.55,18.85,13.1,3.14,1.94,1.01
98,109.65,18.85,11.9,2.85,1.77,0.91
99,109.75,18.85,10.8,2.58,1.6,0.82
100,109.85,18.85,10.7,2.55,1.58,0.81
101,109.95,18.85,9.7,2.3,1.42,0.71
102,110.05,18.85,16.2,3.79,2.31,1.19
103,110.15,18.85,16.4,3.79,2.33,1.19
104,110.25,18.85,15.4,3.52,2.18,1.11
105,110.35,18.85,16.9,3.83,2.39,1.23
106,110.45,18.85,16.7,3.76,2.38,1.22
