GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,13.3,3.0,1.89,1.11
2,109.55,18.15,13.8,3.1,1.96,1.15
3,109.65,18.15,13.7,3.07,1.94,1.14
4,109.45,18.25,15.1,3.45,2.12,1.26
5,109.55,18.25,15.2,3.45,2.12,1.26
6,109.65,18.25,13.2,2.97,1.82,1.09
7,109.75,18.25,12.3,2.76,1.71,1.01
8,108.95,18.35,13.6,3.13,1.95,1.13
9,109.05,18.35,13.6,3.12,1.91,1.13
10,109.15,18.35,14.1,3.24,1.95,1.17
11,109.25,18.35,15.0,3.45,2.07,1.22
12,109.35,18.35,16.7,3.87,2.29,1.37
13,109.45,18.35,18.6,4.32,2.49,1.52
14,109.55,18.35,16.4,3.79,2.19,1.33
15,109.65,18.35,15.1,3.44,2.03,1.21
16,109.75,18.35,14.2,3.17,1.88,1.15
21,108.85,18.45,15.0,3.45,2.17,1.22
22,108.95,18.45,16.0,3.69,2.29,1.31
23,109.05,18.45,14.4,3.3,1.99,1.17
24,109.15,18.45,15.9,3.66,2.16,1.29
25,109.25,18.45,17.3,4.0,2.35,1.41
26,109.35,18.45,11.9,2.75,1.59,0.98
27,109.45,18.45,13.6,3.18,1.78,1.12
28,109.55,18.45,11.4,2.68,1.5,0.94
29,109.65,18.45,16.1,3.69,2.11,1.29
30,109.75,18.45,15.7,3.46,2.0,1.23
31,109.85,18.45,16.2,3.54,2.05,1.28
32,109.95,18.45,15.5,3.46,2.04,1.25
33,110.05,18.45,15.2,3.41,2.1,1.23
34,108.65,18.55,15.0,3.43,2.14,1.23
35,108.75,18.55,16.2,3.72,2.33,1.31
36,108.85,18.55,15.5,3.58,2.23,1.27
37,108.95,18.55,14.2,3.28,2.01,1.16
38,109.05,18.55,16.5,3.83,2.3,1.34
39,109.15,18.55,14.1,3.28,1.94,1.15
40,109.25,18.55,11.3,2.63,1.53,0.93
41,109.35,18.55,13.4,3.15,1.79,1.09
42,109.45,18.55,9.4,2.19,1.24,0.78
43,109.55,18.55,13.3,3.12,1.75,1.09
44,109.65,18.55,19.3,4.5,2.53,1.56
45,109.75,18.55,18.9,4.26,2.42,1.48
46,109.85,18.55,16.8,3.71,2.15,1.3
47,109.95,18.55,16.0,3.59,2.12,1.26
48,110.05,18.55,17.7,4.0,2.43,1.43
49,110.15,18.55,15.5,3.47,2.17,1.25
50,108.75,18.65,13.0,3.0,1.85,1.06
51,108.85,18.65,12.2,2.81,1.72,0.97
52,108.95,18.65,12.3,2.85,1.73,0.98
53,109.05,18.65,17.6,4.14,2.46,1.43
54,109.15,18.65,17.5,4.15,2.41,1.44
55,109.25,18.65,14.7,3.48,2.01,1.22
56,109.35,18.65,10.1,2.41,1.39,0.85
57,109.45,18.65,9.6,2.3,1.32,0.82
58,109.55,18.65,18.6,4.45,2.53,1.54
59,109.65,18.65,20.5,4.87,2.76,1.69
60,109.75,18.65,20.1,4.74,2.71,1.63
61,109.85,18.65,18.2,4.23,2.47,1.44
62,109.95,18.65,16.5,3.77,2.23,1.3
63,110.05,18.65,14.1,3.2,1.92,1.1
64,110.15,18.65,15.0,3.4,2.04,1.18
65,110.25,18.65,15.4,3.47,2.13,1.25
66,110.35,18.65,15.4,3.44,2.14,1.26
67,110.45,18.65,15.1,3.36,2.11,1.24
68,108.65,18.75,15.2,3.47,2.16,1.23
69,108.75,18.75,14.5,3.36,2.01,1.14
70,108.85,18.75,7.9,1.83,1.09,0.63
71,108.95,18.75,8.8,2.04,1.22,0.71
72,109.05,18.75,16.3,3.88,2.26,1.33
73,109.15,18.75,19.2,4.59,2.67,1.6
74,109.25,18.75,18.9,4.54,2.65,1.58
75,109.35,18.75,10.0,2.38,1.38,0.85
76,109.45,18.75,12.7,3.07,1.82,1.09
77,109.55,18.75,14.4,3.46,2.05,1.22
78,109.65,18.75,11.0,2.63,1.53,0.92
79,109.75,18.75,13.2,3.16,1.87,1.09
80,109.85,18.75,10.1,2.42,1.43,0.85
81,109.95,18.75,8.1,1.91,1.13,0.66
82,110.05,18.75,16.0,3.66,2.15,1.26
83,110.15,18.75,16.6,3.78,2.22,1.32
84,110.25,18.75,14.1,3.22,1.92,1.13
85,110.35,18.75,16.9,3.78,2.33,1.37
86,110.45,18.75,17.2,3.8,2.39,1.39
87,110.55,18.75,15.4,3.39,2.14,1.25
88,108.65,18.85,16.5,3.78,2.34,1.32
89,108.75,18.85,14.9,3.43,2.07,1.16
90,108.85,18.85,8.9,2.07,1.24,0.72
91,108.95,18.85,9.0,2.11,1.24,0.73
92,109.05,18.85,13.0,3.1,1.82,1.06
93,109.15,18.85,16.7,4.01,2.34,1.39
94,109.25,18.85,13.4,3.21,1.9,1.12
95,109.35,18.85,8.8,2.1,1.25,0.74
96,109.45,18.85,12.4,2.98,1.78,1.05
97,109.55,18.85,10.7,2.59,1.55,0.91
98,109.65,18.85,7.9,1.9,1.14,0.67
99,109.75,18.85,8.6,2.06,1.22,0.73
100,109.85,18.85,8.8,2.09,1.23,0.74
101,109.95,18.85,8.4,2.01,1.17,0.7
102,110.05,18.85,15.8,3.68,2.14,1.27
103,110.15,18.85,16.9,3.86,2.27,1.35
104,110.25,18.85,16.8,3.78,2.24,1.33
105,110.35,18.85,18.2,4.07,2.47,1.45
106,110.45,18.85,17.7,3.93,2.44,1.42
107,110.55,18.85,16.6,3.66,2.29,1.34
108,108.65,18.95,16.3,3.73,2.31,1.27
109,108.75,18.95,17.1,3.96,2.38,1.32
110,108.85,18.95,17.2,4.03,2.35,1.33
111,108.95,18.95,13.6,3.19,1.88,1.07
112,109.05,18.95,10.4,2.45,1.44,0.85
113,109.15,18.95,9.8,2.34,1.39,0.81
114,109.25,18.95,12.2,2.91,1.75,1.01
115,109.35,18.95,13.8,3.3,1.99,1.15
116,109.45,18.95,14.1,3.4,2.04,1.18
117,109.55,18.95,13.2,3.19,1.92,1.11
