GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,10.0,2.02,1.42,0.65
2,109.55,18.15,10.1,2.03,1.44,0.66
3,109.65,18.15,10.2,2.05,1.44,0.67
4,109.45,18.25,10.9,2.22,1.55,0.71
5,109.55,18.25,10.8,2.17,1.51,0.7
6,109.65,18.25,10.1,2.04,1.41,0.65
7,109.75,18.25,9.0,1.81,1.27,0.58
8,108.95,18.35,10.9,2.23,1.59,0.7
9,109.05,18.35,10.4,2.14,1.51,0.68
10,109.15,18.35,9.9,2.07,1.44,0.66
11,109.25,18.35,7.8,1.62,1.13,0.51
12,109.35,18.35,8.0,1.66,1.15,0.52
13,109.45,18.35,9.1,1.92,1.3,0.6
14,109.55,18.35,8.4,1.75,1.19,0.56
15,109.65,18.35,8.5,1.76,1.2,0.56
16,109.75,18.35,10.6,2.13,1.46,0.68
21,108.85,18.45,11.5,2.37,1.69,0.74
22,108.95,18.45,11.3,2.31,1.64,0.72
23,109.05,18.45,8.0,1.65,1.17,0.53
24,109.15,18.45,7.5,1.57,1.08,0.49
25,109.25,18.45,7.5,1.58,1.08,0.49
26,109.35,18.45,7.5,1.58,1.07,0.49
27,109.45,18.45,8.3,1.77,1.18,0.55
28,109.55,18.45,7.8,1.65,1.1,0.51
29,109.65,18.45,7.9,1.64,1.11,0.52
30,109.75,18.45,9.4,1.92,1.29,0.6
31,109.85,18.45,10.3,2.09,1.41,0.65
32,109.95,18.45,10.5,2.13,1.45,0.67
33,110.05,18.45,10.9,2.21,1.53,0.7
34,108.65,18.55,11.4,2.34,1.67,0.72
35,108.75,18.55,11.6,2.4,1.7,0.74
36,108.85,18.55,11.2,2.31,1.63,0.72
37,108.95,18.55,9.9,2.06,1.45,0.64
38,109.05,18.55,8.4,1.76,1.23,0.55
39,109.15,18.55,8.3,1.76,1.21,0.55
40,109.25,18.55,7.5,1.6,1.09,0.5
41,109.35,18.55,7.9,1.67,1.13,0.52
42,109.45,18.55,6.8,1.46,0.98,0.45
43,109.55,18.55,7.7,1.63,1.09,0.51
44,109.65,18.55,7.6,1.61,1.08,0.5
45,109.75,18.55,7.2,1.49,1.01,0.46
46,109.85,18.55,7.3,1.5,1.01,0.47
47,109.95,18.55,9.4,1.92,1.3,0.6
48,110.05,18.55,10.6,2.17,1.49,0.68
49,110.15,18.55,10.4,2.12,1.47,0.67
50,108.75,18.65,11.0,2.29,1.6,0.7
51,108.85,18.65,8.6,1.79,1.25,0.55
52,108.95,18.65,8.3,1.73,1.21,0.53
53,109.05,18.65,8.1,1.7,1.18,0.52
54,109.15,18.65,8.3,1.78,1.23,0.55
55,109.25,18.65,7.3,1.57,1.08,0.48
56,109.35,18.65,7.2,1.55,1.06,0.48
57,109.45,18.65,5.9,1.28,0.88,0.4
58,109.55,18.65,7.7,1.64,1.11,0.51
59,109.65,18.65,7.9,1.69,1.15,0.52
60,109.75,18.65,7.9,1.66,1.13,0.52
61,109.85,18.65,6.7,1.4,0.96,0.44
62,109.95,18.65,8.0,1.66,1.13,0.51
63,110.05,18.65,8.1,1.67,1.14,0.52
64,110.15,18.65,8.2,1.7,1.16,0.53
65,110.25,18.65,10.3,2.1,1.44,0.65
66,110.35,18.65,10.8,2.18,1.51,0.69
67,110.45,18.65,10.5,2.12,1.48,0.67
68,108.65,18.75,12.1,2.5,1.76,0.77
69,108.75,18.75,9.1,1.9,1.33,0.58
70,108.85,18.75,8.5,1.79,1.24,0.54
71,108.95,18.75,7.0,1.48,1.03,0.44
72,109.05,18.75,8.1,1.72,1.2,0.53
73,109.15,18.75,8.8,1.88,1.32,0.58
74,109.25,18.75,8.5,1.81,1.26,0.55
75,109.35,18.75,6.8,1.47,1.02,0.46
