GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,13.4,3.0,1.99,0.95
2,109.55,18.15,13.7,3.06,2.03,0.97
3,109.65,18.15,13.7,3.08,2.04,0.98
4,109.45,18.25,14.7,3.31,2.17,1.04
5,109.55,18.25,14.6,3.28,2.15,1.03
6,109.65,18.25,13.6,3.05,1.99,0.95
7,109.75,18.25,13.1,2.94,1.93,0.92
8,108.95,18.35,13.9,3.13,2.09,0.96
9,109.05,18.35,14.1,3.19,2.11,0.99
10,109.15,18.35,14.6,3.32,2.15,1.04
11,109.25,18.35,15.2,3.45,2.23,1.09
12,109.35,18.35,15.7,3.59,2.29,1.13
13,109.45,18.35,16.8,3.86,2.41,1.21
14,109.55,18.35,15.7,3.57,2.24,1.12
15,109.65,18.35,14.2,3.2,2.04,1.0
16,109.75,18.35,13.9,3.09,1.98,0.96
21,108.85,18.45,14.7,3.3,2.22,0.99
22,108.95,18.45,15.3,3.45,2.3,1.04
23,109.05,18.45,13.4,3.04,1.98,0.95
24,109.15,18.45,15.8,3.6,2.3,1.14
25,109.25,18.45,15.9,3.65,2.32,1.15
26,109.35,18.45,12.5,2.88,1.82,0.91
27,109.45,18.45,13.8,3.21,1.96,1.0
28,109.55,18.45,14.2,3.28,2.01,1.03
29,109.65,18.45,14.9,3.38,2.12,1.05
30,109.75,18.45,14.3,3.17,2.0,0.97
31,109.85,18.45,15.5,3.38,2.14,1.05
32,109.95,18.45,15.2,3.37,2.16,1.04
33,110.05,18.45,15.5,3.46,2.27,1.07
34,108.65,18.55,14.9,3.36,2.25,1.0
35,108.75,18.55,15.2,3.43,2.29,1.02
36,108.85,18.55,14.9,3.36,2.24,1.0
37,108.95,18.55,14.2,3.23,2.14,0.97
38,109.05,18.55,15.6,3.56,2.33,1.1
39,109.15,18.55,15.0,3.44,2.21,1.08
40,109.25,18.55,13.4,3.11,1.97,0.97
41,109.35,18.55,14.0,3.26,2.04,1.01
42,109.45,18.55,11.3,2.64,1.63,0.82
43,109.55,18.55,13.9,3.23,1.99,1.01
44,109.65,18.55,15.8,3.63,2.26,1.12
45,109.75,18.55,16.2,3.65,2.3,1.11
46,109.85,18.55,14.5,3.22,2.05,0.99
47,109.95,18.55,14.9,3.34,2.14,1.02
48,110.05,18.55,16.0,3.58,2.34,1.1
49,110.15,18.55,14.8,3.3,2.18,1.02
50,108.75,18.65,14.2,3.22,2.13,0.95
51,108.85,18.65,13.7,3.12,2.05,0.93
52,108.95,18.65,14.3,3.26,2.14,0.98
53,109.05,18.65,16.2,3.73,2.43,1.13
54,109.15,18.65,15.4,3.59,2.31,1.08
55,109.25,18.65,13.0,3.06,1.95,0.93
56,109.35,18.65,12.8,3.0,1.9,0.92
57,109.45,18.65,10.0,2.35,1.5,0.71
58,109.55,18.65,15.2,3.58,2.25,1.09
59,109.65,18.65,16.7,3.9,2.45,1.19
60,109.75,18.65,16.7,3.86,2.44,1.17
61,109.85,18.65,15.9,3.65,2.35,1.1
