GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,17.6,3.92,2.46,1.4
2,109.55,18.15,18.1,4.02,2.53,1.44
3,109.65,18.15,18.2,4.07,2.54,1.45
4,109.45,18.25,20.1,4.53,2.76,1.6
5,109.55,18.25,20.1,4.5,2.75,1.59
6,109.65,18.25,18.3,4.09,2.49,1.44
7,109.75,18.25,17.2,3.81,2.36,1.35
8,108.95,18.35,17.9,4.04,2.5,1.42
9,109.05,18.35,18.2,4.1,2.5,1.45
10,109.15,18.35,18.2,4.14,2.46,1.46
11,109.25,18.35,19.3,4.38,2.6,1.53
12,109.35,18.35,20.7,4.74,2.76,1.66
13,109.45,18.35,21.8,5.0,2.87,1.75
14,109.55,18.35,21.3,4.85,2.79,1.69
15,109.65,18.35,20.5,4.61,2.7,1.61
16,109.75,18.35,18.6,4.11,2.46,1.45
21,108.85,18.45,20.0,4.46,2.82,1.57
22,108.95,18.45,20.7,4.66,2.88,1.62
23,109.05,18.45,18.9,4.28,2.55,1.5
24,109.15,18.45,20.5,4.68,2.72,1.63
25,109.25,18.45,22.1,5.07,2.93,1.76
26,109.35,18.45,16.8,3.84,2.22,1.35
27,109.45,18.45,18.7,4.31,2.41,1.5
28,109.55,18.45,17.1,3.94,2.22,1.37
29,109.65,18.45,22.1,5.02,2.87,1.74
30,109.75,18.45,20.6,4.52,2.66,1.57
31,109.85,18.45,21.0,4.56,2.73,1.61
32,109.95,18.45,20.4,4.46,2.71,1.57
33,110.05,18.45,19.9,4.39,2.75,1.55
34,108.65,18.55,19.4,4.34,2.73,1.5
35,108.75,18.55,20.7,4.61,2.89,1.6
36,108.85,18.55,20.6,4.62,2.88,1.6
37,108.95,18.55,19.6,4.42,2.7,1.53
38,109.05,18.55,22.0,4.99,2.96,1.72
39,109.15,18.55,17.7,4.04,2.36,1.41
40,109.25,18.55,16.6,3.81,2.21,1.33
41,109.35,18.55,19.1,4.41,2.52,1.52
42,109.45,18.55,15.5,3.57,2.03,1.24
43,109.55,18.55,19.7,4.54,2.55,1.58
44,109.65,18.55,25.6,5.86,3.33,2.02
45,109.75,18.55,24.6,5.48,3.19,1.89
46,109.85,18.55,21.4,4.68,2.77,1.62
47,109.95,18.55,20.8,4.56,2.76,1.6
48,110.05,18.55,22.3,4.93,3.05,1.73
49,110.15,18.55,20.4,4.5,2.85,1.59
50,108.75,18.65,17.7,3.96,2.44,1.36
51,108.85,18.65,17.4,3.91,2.37,1.33
52,108.95,18.65,17.7,4.02,2.41,1.37
53,109.05,18.65,22.6,5.19,3.07,1.76
54,109.15,18.65,22.8,5.28,3.06,1.79
55,109.25,18.65,18.5,4.3,2.5,1.48
56,109.35,18.65,15.7,3.65,2.11,1.26
57,109.45,18.65,15.9,3.67,2.14,1.28
58,109.55,18.65,24.2,5.65,3.23,1.96
59,109.65,18.65,27.0,6.26,3.6,2.15
60,109.75,18.65,25.7,5.91,3.42,2.01
61,109.85,18.65,22.8,5.12,3.06,1.75
62,109.95,18.65,21.1,4.69,2.83,1.62
63,110.05,18.65,17.8,3.93,2.4,1.36
64,110.15,18.65,20.4,4.49,2.75,1.56
65,110.25,18.65,20.5,4.51,2.81,1.59
66,110.35,18.65,20.3,4.44,2.8,1.57
67,110.45,18.65,19.8,4.35,2.76,1.55
68,108.65,18.75,20.3,4.52,2.82,1.56
69,108.75,18.75,18.5,4.12,2.48,1.4
70,108.85,18.75,13.6,3.03,1.81,1.03
71,108.95,18.75,14.8,3.33,2.0,1.14
72,109.05,18.75,22.4,5.18,3.03,1.75
73,109.15,18.75,25.2,5.89,3.45,1.98
74,109.25,18.75,24.9,5.84,3.42,1.97
75,109.35,18.75,16.1,3.75,2.21,1.29
76,109.45,18.75,18.4,4.31,2.55,1.5
77,109.55,18.75,19.1,4.49,2.66,1.56
78,109.65,18.75,16.5,3.82,2.24,1.31
79,109.75,18.75,19.3,4.48,2.67,1.51
80,109.85,18.75,15.4,3.57,2.13,1.21
81,109.95,18.75,13.6,3.07,1.85,1.06
82,110.05,18.75,21.1,4.67,2.83,1.61
83,110.15,18.75,21.2,4.66,2.82,1.62
84,110.25,18.75,19.7,4.34,2.66,1.51
85,110.35,18.75,21.2,4.65,2.92,1.65
86,110.45,18.75,21.7,4.73,3.02,1.67
87,110.55,18.75,19.7,4.31,2.74,1.53
88,108.65,18.85,22.0,4.88,3.01,1.66
89,108.75,18.85,19.8,4.39,2.66,1.49
90,108.85,18.85,14.9,3.32,1.99,1.14
91,108.95,18.85,15.7,3.52,2.1,1.2
92,109.05,18.85,19.6,4.47,2.63,1.51
93,109.15,18.85,23.2,5.42,3.18,1.83
94,109.25,18.85,20.3,4.73,2.81,1.6
95,109.35,18.85,16.2,3.78,2.26,1.29
96,109.45,18.85,19.6,4.59,2.72,1.59
97,109.55,18.85,16.5,3.88,2.32,1.34
98,109.65,18.85,13.1,3.04,1.83,1.04
99,109.75,18.85,14.0,3.25,1.96,1.11
100,109.85,18.85,14.2,3.28,1.97,1.12
101,109.95,18.85,13.7,3.14,1.89,1.07
102,110.05,18.85,21.5,4.81,2.89,1.65
103,110.15,18.85,21.9,4.83,2.93,1.67
104,110.25,18.85,21.9,4.78,2.92,1.67
105,110.35,18.85,23.5,5.14,3.18,1.8
106,110.45,18.85,22.4,4.88,3.07,1.72
107,110.55,18.85,21.5,4.68,2.97,1.66
108,108.65,18.95,21.5,4.73,2.92,1.6
