GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,17.3,3.88,2.41,1.4
2,109.55,18.15,18.1,4.04,2.52,1.45
3,109.65,18.15,18.2,4.1,2.53,1.48
4,109.45,18.25,19.6,4.45,2.68,1.57
5,109.55,18.25,20.0,4.55,2.74,1.6
6,109.65,18.25,18.3,4.14,2.48,1.46
7,109.75,18.25,17.0,3.8,2.33,1.36
8,108.95,18.35,17.9,4.07,2.51,1.42
9,109.05,18.35,17.8,4.09,2.46,1.43
10,109.15,18.35,17.9,4.13,2.43,1.44
11,109.25,18.35,19.0,4.38,2.57,1.52
12,109.35,18.35,20.5,4.73,2.74,1.65
13,109.45,18.35,21.7,5.03,2.83,1.75
14,109.55,18.35,21.5,4.97,2.78,1.73
15,109.65,18.35,20.3,4.61,2.65,1.6
16,109.75,18.35,18.4,4.12,2.41,1.44
21,108.85,18.45,20.0,4.51,2.83,1.55
22,108.95,18.45,20.4,4.64,2.84,1.59
23,109.05,18.45,18.5,4.24,2.51,1.46
24,109.15,18.45,20.2,4.65,2.69,1.61
25,109.25,18.45,21.7,5.01,2.89,1.72
26,109.35,18.45,16.7,3.87,2.2,1.35
27,109.45,18.45,18.4,4.31,2.36,1.49
28,109.55,18.45,17.1,3.99,2.19,1.38
29,109.65,18.45,22.1,5.08,2.83,1.75
30,109.75,18.45,20.5,4.53,2.59,1.56
31,109.85,18.45,20.3,4.45,2.58,1.56
32,109.95,18.45,19.8,4.38,2.6,1.54
33,110.05,18.45,19.7,4.37,2.7,1.55
34,108.65,18.55,19.2,4.33,2.7,1.47
35,108.75,18.55,20.0,4.53,2.81,1.54
36,108.85,18.55,20.3,4.6,2.85,1.57
37,108.95,18.55,19.3,4.42,2.66,1.5
38,109.05,18.55,21.8,5.02,2.94,1.7
39,109.15,18.55,17.6,4.06,2.34,1.4
40,109.25,18.55,15.4,3.59,2.05,1.25
41,109.35,18.55,18.8,4.39,2.47,1.51
42,109.45,18.55,14.8,3.45,1.92,1.2
43,109.55,18.55,19.5,4.57,2.5,1.57
44,109.65,18.55,25.5,5.94,3.27,2.02
45,109.75,18.55,24.8,5.6,3.15,1.9
46,109.85,18.55,21.3,4.7,2.69,1.61
47,109.95,18.55,20.4,4.51,2.68,1.57
48,110.05,18.55,22.1,4.93,3.01,1.73
49,110.15,18.55,20.3,4.54,2.82,1.61
50,108.75,18.65,17.3,3.91,2.39,1.31
51,108.85,18.65,16.5,3.76,2.25,1.24
52,108.95,18.65,17.6,4.03,2.4,1.34
53,109.05,18.65,22.6,5.26,3.08,1.75
54,109.15,18.65,22.7,5.35,3.07,1.78
55,109.25,18.65,18.2,4.29,2.45,1.46
56,109.35,18.65,14.1,3.31,1.89,1.14
57,109.45,18.65,15.4,3.62,2.07,1.26
58,109.55,18.65,24.0,5.67,3.21,1.95
59,109.65,18.65,27.5,6.47,3.63,2.2
60,109.75,18.65,26.0,6.05,3.43,2.03
61,109.85,18.65,22.7,5.17,3.03,1.74
62,109.95,18.65,21.1,4.76,2.82,1.62
63,110.05,18.65,17.8,3.98,2.39,1.37
64,110.15,18.65,20.5,4.58,2.75,1.58
65,110.25,18.65,20.8,4.63,2.85,1.62
66,110.35,18.65,20.8,4.63,2.89,1.64
67,110.45,18.65,20.1,4.46,2.81,1.59
68,108.65,18.75,19.6,4.43,2.74,1.48
69,108.75,18.75,18.1,4.08,2.44,1.34
70,108.85,18.75,12.9,2.91,1.72,0.96
71,108.95,18.75,14.2,3.26,1.92,1.08
72,109.05,18.75,21.8,5.12,2.97,1.69
73,109.15,18.75,25.0,5.93,3.43,1.97
74,109.25,18.75,24.8,5.9,3.42,1.96
75,109.35,18.75,15.5,3.67,2.12,1.26
76,109.45,18.75,18.2,4.33,2.53,1.51
77,109.55,18.75,19.0,4.52,2.64,1.57
78,109.65,18.75,16.0,3.78,2.18,1.29
79,109.75,18.75,18.9,4.46,2.61,1.49
80,109.85,18.75,14.7,3.46,2.04,1.17
81,109.95,18.75,13.0,2.99,1.78,1.02
82,110.05,18.75,20.8,4.67,2.76,1.59
83,110.15,18.75,21.0,4.69,2.75,1.6
84,110.25,18.75,19.5,4.36,2.61,1.49
85,110.35,18.75,21.6,4.79,2.97,1.68
86,110.45,18.75,22.0,4.84,3.05,1.71
87,110.55,18.75,20.1,4.45,2.79,1.58
88,108.65,18.85,21.1,4.71,2.9,1.57
89,108.75,18.85,19.4,4.34,2.6,1.43
90,108.85,18.85,14.3,3.24,1.91,1.07
91,108.95,18.85,15.2,3.46,2.02,1.15
92,109.05,18.85,19.2,4.47,2.61,1.47
93,109.15,18.85,22.8,5.4,3.13,1.79
94,109.25,18.85,19.5,4.64,2.71,1.54
95,109.35,18.85,15.3,3.62,2.13,1.23
96,109.45,18.85,18.7,4.45,2.62,1.54
97,109.55,18.85,16.1,3.84,2.26,1.32
98,109.65,18.85,12.4,2.93,1.74,1.0
99,109.75,18.85,13.4,3.17,1.88,1.07
100,109.85,18.85,13.6,3.18,1.88,1.08
101,109.95,18.85,13.1,3.06,1.81,1.03
102,110.05,18.85,20.5,4.69,2.75,1.57
103,110.15,18.85,21.5,4.83,2.84,1.64
104,110.25,18.85,21.5,4.77,2.84,1.63
105,110.35,18.85,23.5,5.2,3.16,1.8
106,110.45,18.85,22.8,5.03,3.14,1.76
107,110.55,18.85,22.1,4.87,3.06,1.72
108,108.65,18.95,20.4,4.55,2.8,1.51
109,108.75,18.95,20.6,4.59,2.77,1.5
110,108.85,18.95,22.5,5.06,2.95,1.64
111,108.95,18.95,19.9,4.52,2.64,1.48
112,109.05,18.95,16.8,3.87,2.26,1.28
113,109.15,18.95,16.0,3.72,2.19,1.24
114,109.25,18.95,18.2,4.29,2.54,1.43
115,109.35,18.95,19.7,4.67,2.77,1.57
116,109.45,18.95,20.2,4.78,2.83,1.62
117,109.55,18.95,18.3,4.35,2.57,1.47
118,109.65,18.95,13.7,3.26,1.93,1.1
119,109.75,18.95,10.7,2.53,1.5,0.85
120,109.85,18.95,12.0,2.81,1.66,0.93
121,109.95,18.95,12.7,2.96,1.75,0.99
122,110.05,18.95,20.7,4.76,2.8,1.57
123,110.15,18.95,21.6,4.93,2.9,1.65
124,110.25,18.95,21.1,4.68,2.8,1.58
125,110.35,18.95,21.0,4.62,2.77,1.58
126,110.45,18.95,23.0,5.02,3.02,1.73
127,110.55,18.95,23.2,5.07,3.09,1.76
128,108.65,19.05,22.4,4.97,3.06,1.64
129,108.75,19.05,22.9,4.99,2.92,1.61
130,108.85,19.05,22.9,5.03,2.92,1.62
131,108.95,19.05,25.0,5.65,3.29,1.82
132,109.05,19.05,16.6,3.83,2.26,1.26
133,109.15,19.05,18.0,4.19,2.51,1.4
134,109.25,19.05,19.7,4.61,2.75,1.54
135,109.35,19.05,20.3,4.78,2.85,1.61
136,109.45,19.05,18.9,4.45,2.66,1.5
137,109.55,19.05,16.2,3.79,2.27,1.27
138,109.65,19.05,13.6,3.21,1.91,1.07
139,109.75,19.05,12.6,2.96,1.76,0.98
140,109.85,19.05,17.0,4.03,2.37,1.32
141,109.95,19.05,12.3,2.87,1.69,0.95
142,110.05,19.05,13.7,3.16,1.86,1.05
143,110.15,19.05,15.6,3.57,2.11,1.19
144,110.25,19.05,21.4,4.8,2.86,1.61
145,110.35,19.05,18.5,4.05,2.41,1.37
146,110.45,19.05,20.6,4.47,2.65,1.51
147,110.55,19.05,22.7,4.92,2.92,1.66
148,108.65,19.15,24.4,5.19,3.14,1.67
149,108.75,19.15,23.0,4.96,2.91,1.58
150,108.85,19.15,23.9,5.2,3.01,1.66
151,108.95,19.15,26.0,5.39,3.1,1.7
152,109.05,19.15,22.3,4.67,2.74,1.51
153,109.15,19.15,14.4,3.25,1.95,1.08
154,109.25,19.15,14.5,3.18,1.9,1.05
155,109.35,19.15,17.9,3.9,2.32,1.29
156,109.45,19.15,17.0,3.95,2.36,1.33
157,109.55,19.15,14.8,3.43,2.05,1.15
158,109.65,19.15,13.0,2.99,1.78,0.98
159,109.75,19.15,12.7,2.96,1.75,0.97
160,109.85,19.15,17.8,4.22,2.48,1.37
161,109.95,19.15,19.3,4.5,2.63,1.45
162,110.05,19.15,22.1,5.07,2.99,1.65
163,110.15,19.15,21.5,4.91,2.9,1.63
164,110.25,19.15,19.6,4.4,2.6,1.45
165,110.35,19.15,19.8,4.35,2.57,1.45
166,110.45,19.15,23.9,5.16,3.06,1.74
167,110.55,19.15,26.0,5.6,3.32,1.89
168,108.65,19.25,23.9,4.95,2.97,1.59
169,108.75,19.25,21.9,4.43,2.61,1.42
170,108.85,19.25,24.0,4.73,2.73,1.51
171,108.95,19.25,26.4,5.19,2.99,1.65
172,109.05,19.25,28.8,5.66,3.27,1.81
173,109.15,19.25,21.6,4.27,2.48,1.37
174,109.25,19.25,21.0,4.28,2.5,1.39
175,109.35,19.25,15.6,3.29,1.94,1.07
176,109.45,19.25,20.5,4.42,2.58,1.43
177,109.55,19.25,14.5,3.26,1.93,1.06
178,109.65,19.25,11.8,2.68,1.59,0.87
179,109.75,19.25,14.5,3.33,1.96,1.07
180,109.85,19.25,18.4,4.27,2.5,1.37
181,109.95,19.25,18.1,4.17,2.45,1.34
182,110.05,19.25,21.4,4.89,2.87,1.57
183,110.15,19.25,21.7,4.92,2.89,1.6
184,110.25,19.25,21.2,4.69,2.77,1.55
185,110.35,19.25,19.1,4.2,2.49,1.38
186,110.45,19.25,25.3,5.53,3.25,1.83
187,110.55,19.25,28.6,6.21,3.68,2.09
188,110.65,19.25,29.0,6.36,3.8,2.18
189,108.65,19.35,23.2,4.7,2.83,1.52
190,108.75,19.35,21.2,4.1,2.41,1.33
191,108.85,19.35,23.6,4.43,2.58,1.43
192,108.95,19.35,24.8,4.7,2.72,1.51
193,109.05,19.35,23.2,4.41,2.55,1.42
194,109.15,19.35,25.3,4.76,2.74,1.53
195,109.25,19.35,22.3,4.31,2.49,1.39
196,109.35,19.35,23.2,4.73,2.74,1.52
197,109.45,19.35,16.7,3.61,2.1,1.15
198,109.55,19.35,18.3,3.98,2.3,1.27
199,109.65,19.35,16.5,3.68,2.14,1.17
200,109.75,19.35,23.2,5.32,3.08,1.68
