GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,16.2,3.67,2.24,1.31
2,109.55,18.15,16.7,3.78,2.31,1.35
3,109.65,18.15,16.7,3.81,2.31,1.35
4,109.45,18.25,18.4,4.24,2.49,1.48
5,109.55,18.25,18.2,4.18,2.46,1.45
6,109.65,18.25,16.5,3.76,2.2,1.31
7,109.75,18.25,15.7,3.57,2.13,1.25
8,108.95,18.35,16.6,3.81,2.31,1.3
9,109.05,18.35,16.8,3.86,2.28,1.33
10,109.15,18.35,16.6,3.84,2.21,1.32
11,109.25,18.35,17.6,4.09,2.32,1.4
12,109.35,18.35,19.1,4.45,2.49,1.53
13,109.45,18.35,20.2,4.7,2.59,1.62
14,109.55,18.35,19.4,4.5,2.47,1.56
15,109.65,18.35,18.5,4.25,2.36,1.45
16,109.75,18.35,17.0,3.86,2.18,1.33
21,108.85,18.45,18.8,4.29,2.63,1.44
22,108.95,18.45,19.3,4.44,2.68,1.49
23,109.05,18.45,17.8,4.13,2.37,1.4
24,109.15,18.45,19.1,4.4,2.48,1.51
25,109.25,18.45,20.5,4.76,2.65,1.63
26,109.35,18.45,14.9,3.45,1.92,1.2
27,109.45,18.45,16.8,3.93,2.11,1.35
28,109.55,18.45,15.0,3.52,1.9,1.21
29,109.65,18.45,20.3,4.69,2.54,1.6
30,109.75,18.45,18.9,4.23,2.36,1.44
31,109.85,18.45,19.3,4.26,2.4,1.46
32,109.95,18.45,18.9,4.21,2.42,1.45
33,110.05,18.45,18.8,4.22,2.54,1.45
34,108.65,18.55,18.2,4.15,2.54,1.38
35,108.75,18.55,19.3,4.41,2.7,1.47
36,108.85,18.55,19.1,4.36,2.66,1.45
37,108.95,18.55,17.9,4.12,2.45,1.37
38,109.05,18.55,20.1,4.68,2.68,1.56
39,109.15,18.55,16.0,3.73,2.1,1.27
40,109.25,18.55,14.5,3.4,1.9,1.17
41,109.35,18.55,17.1,4.04,2.21,1.38
42,109.45,18.55,13.4,3.14,1.72,1.09
43,109.55,18.55,17.3,4.08,2.2,1.39
44,109.65,18.55,23.2,5.42,2.92,1.83
45,109.75,18.55,22.6,5.18,2.82,1.72
46,109.85,18.55,19.8,4.41,2.46,1.49
47,109.95,18.55,19.3,4.35,2.49,1.47
48,110.05,18.55,20.7,4.7,2.77,1.59
49,110.15,18.55,19.1,4.31,2.62,1.49
50,108.75,18.65,16.6,3.78,2.29,1.24
51,108.85,18.65,15.9,3.63,2.15,1.18
52,108.95,18.65,16.1,3.72,2.18,1.21
53,109.05,18.65,20.9,4.88,2.81,1.6
54,109.15,18.65,21.1,4.98,2.81,1.63
55,109.25,18.65,16.9,4.01,2.25,1.35
56,109.35,18.65,13.5,3.2,1.79,1.09
57,109.45,18.65,13.8,3.26,1.83,1.12
58,109.55,18.65,22.2,5.28,2.9,1.78
59,109.65,18.65,24.7,5.87,3.2,1.96
60,109.75,18.65,23.8,5.63,3.08,1.84
61,109.85,18.65,21.3,4.95,2.79,1.59
62,109.95,18.65,19.6,4.52,2.58,1.48
63,110.05,18.65,16.2,3.71,2.16,1.22
64,110.15,18.65,19.2,4.35,2.55,1.45
65,110.25,18.65,19.4,4.38,2.65,1.5
66,110.35,18.65,19.2,4.31,2.63,1.48
67,110.45,18.65,18.8,4.21,2.6,1.47
68,108.65,18.75,18.8,4.28,2.62,1.4
69,108.75,18.75,17.5,3.95,2.33,1.28
70,108.85,18.75,12.1,2.73,1.62,0.89
71,108.95,18.75,13.0,2.99,1.75,0.98
72,109.05,18.75,20.2,4.76,2.72,1.55
73,109.15,18.75,23.2,5.51,3.16,1.8
74,109.25,18.75,23.2,5.55,3.16,1.81
75,109.35,18.75,14.0,3.34,1.9,1.13
76,109.45,18.75,16.5,3.96,2.27,1.36
77,109.55,18.75,17.5,4.2,2.41,1.44
78,109.65,18.75,14.5,3.46,1.95,1.16
79,109.75,18.75,17.2,4.13,2.35,1.34
80,109.85,18.75,13.9,3.35,1.93,1.09
81,109.95,18.75,11.8,2.77,1.61,0.89
82,110.05,18.75,19.7,4.52,2.61,1.47
83,110.15,18.75,20.1,4.53,2.67,1.49
84,110.25,18.75,18.5,4.18,2.49,1.39
85,110.35,18.75,20.2,4.51,2.75,1.56
86,110.45,18.75,20.6,4.57,2.85,1.59
87,110.55,18.75,18.7,4.15,2.58,1.44
88,108.65,18.85,20.3,4.61,2.8,1.49
89,108.75,18.85,18.5,4.17,2.46,1.34
90,108.85,18.85,13.0,2.95,1.74,0.96
91,108.95,18.85,13.8,3.16,1.85,1.02
92,109.05,18.85,17.6,4.1,2.38,1.32
93,109.15,18.85,21.2,5.05,2.9,1.64
94,109.25,18.85,17.9,4.29,2.48,1.39
95,109.35,18.85,13.3,3.17,1.85,1.06
96,109.45,18.85,17.4,4.18,2.42,1.42
97,109.55,18.85,14.5,3.46,2.01,1.18
98,109.65,18.85,11.2,2.68,1.57,0.89
99,109.75,18.85,12.5,2.98,1.74,0.99
100,109.85,18.85,12.7,3.05,1.77,1.0
101,109.95,18.85,12.1,2.85,1.68,0.91
102,110.05,18.85,19.9,4.61,2.68,1.48
103,110.15,18.85,20.7,4.67,2.75,1.53
104,110.25,18.85,20.8,4.67,2.78,1.55
105,110.35,18.85,22.2,4.92,3.0,1.68
106,110.45,18.85,21.3,4.72,2.91,1.63
107,110.55,18.85,20.4,4.5,2.79,1.56
108,108.65,18.95,19.6,4.42,2.68,1.4
109,108.75,18.95,20.0,4.51,2.67,1.42
110,108.85,18.95,21.1,4.78,2.76,1.51
111,108.95,18.95,18.2,4.16,2.42,1.31
112,109.05,18.95,15.3,3.52,2.07,1.13
113,109.15,18.95,14.1,3.28,1.95,1.06
114,109.25,18.95,16.5,3.92,2.32,1.27
115,109.35,18.95,18.1,4.32,2.54,1.41
116,109.45,18.95,18.9,4.52,2.67,1.5
117,109.55,18.95,17.1,4.11,2.43,1.36
118,109.65,18.95,13.0,3.08,1.84,1.01
119,109.75,18.95,9.5,2.26,1.35,0.73
120,109.85,18.95,11.4,2.71,1.63,0.84
121,109.95,18.95,12.0,2.83,1.7,0.88
122,110.05,18.95,20.3,4.75,2.79,1.49
123,110.15,18.95,21.1,4.9,2.9,1.55
124,110.25,18.95,20.3,4.53,2.74,1.49
125,110.35,18.95,20.2,4.45,2.72,1.49
126,110.45,18.95,21.7,4.73,2.89,1.6
127,110.55,18.95,21.1,4.56,2.79,1.58
128,108.65,19.05,21.4,4.82,2.93,1.51
129,108.75,19.05,21.8,4.8,2.79,1.49
130,108.85,19.05,21.7,4.79,2.79,1.5
131,108.95,19.05,23.1,5.25,3.03,1.65
132,109.05,19.05,15.2,3.51,2.08,1.12
133,109.15,19.05,16.6,3.88,2.35,1.25
134,109.25,19.05,18.3,4.32,2.59,1.39
135,109.35,19.05,19.0,4.52,2.72,1.47
136,109.45,19.05,17.6,4.15,2.53,1.37
137,109.55,19.05,15.4,3.61,2.21,1.18
138,109.65,19.05,13.2,3.13,1.89,1.02
139,109.75,19.05,12.2,2.89,1.76,0.92
140,109.85,19.05,16.5,3.93,2.38,1.24
141,109.95,19.05,12.2,2.89,1.76,0.89
142,110.05,19.05,13.5,3.15,1.91,0.98
143,110.15,19.05,14.9,3.44,2.12,1.07
144,110.25,19.05,20.8,4.7,2.84,1.51
145,110.35,19.05,17.7,3.86,2.37,1.28
